phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,ramp_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,utilization_regime,mc_trials,speed_variation_pct,headway_variation_min,corner_delay_model,mc_outcome_summary
1,Phase 1,16 straight edge-ramps,12,4,NA,NA,NA,NA,below_saturation,10000,±25%,±1,longer corner delays (stochastic),Schedule remains within Khufu’s reign; variability absorbed by parallelism and buffers
2,Phase 2,8 straight edge-ramps,6,2,NA,NA,NA,NA,below_saturation,10000,±25%,±1,longer corner delays (stochastic),Schedule remains within Khufu’s reign; variability absorbed by parallelism and buffers
3a,Phase 3a,4 helical edge-ramps,3,1,NA,NA,NA,NA,near_capacity,10000,±25%,±1,longer corner delays (stochastic),Schedule remains within Khufu’s reign; variability absorbed by parallelism and buffers
3b,Phase 3b,2 helical edge-ramps,2,0,NA,NA,NA,NA,near_capacity,10000,±25%,±1,longer corner delays (stochastic),Schedule remains within Khufu’s reign; variability absorbed by parallelism and buffers
3c,Phase 3c,1 helical edge-ramp,1,0,NA,NA,NA,NA,near_capacity,10000,±25%,±1,longer corner delays (stochastic),Schedule remains within Khufu’s reign; variability absorbed by parallelism and buffers
