trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
1,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1369780242779817,4.441456773334257,0.0,3.5180979003882955,0.22515135259310148,0.2842445060694954,0.7921045008273752,17.054670364169723,204.65604437003668,0.06435511859065515,0.7921045008273752,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
2,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9694392198760262,4.422475522949341,0.0,4.126096735091374,0.2261177014571924,0.24235980496900653,0.9329835097288876,14.541588298140391,174.4990595776847,0.2769679241505381,0.9329835097288876,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
3,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1792989599556911,3.4053900621666484,0.0,3.3918456098276293,0.2936521167163327,0.2948247399889228,0.9960226429008836,17.689484399335367,212.2738127920244,5.318719146112074,0.9960226429008836,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
4,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.098684014529682,3.0733107903364743,0.0,3.640719212349964,0.32538199623166564,0.2746710036324205,1.1846244850334087,16.48026021794523,197.76312261534275,11.846244850334086,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
5,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.7970886739438248,3.6075990436141385,0.0,5.018262247045681,0.27719266689853295,0.1992721684859562,1.391025495454817,11.95633010915737,143.47596130988845,13.910254954548169,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
6,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.2378111758183779,3.314272609717902,0.0,3.231510652144018,0.3017253309422595,0.30945279395459446,0.9750286209615907,18.567167637275666,222.806011647308,0.8118119157722594,0.9750286209615907,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
7,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1305698509951765,3.791576958431388,0.0,3.5380388009454053,0.26374250370318464,0.2826424627487941,0.9331312115603545,16.958547764927648,203.5025731791318,0.27766759436135485,0.9331312115603545,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
8,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1430321526384768,4.9586922383052086,0.0,3.499464114606702,0.20166607483221866,0.2857580381596192,0.705723192008939,17.145482289577153,205.74578747492583,0.03608909263931875,0.705723192008939,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
9,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8140568163377729,3.362142741810442,0.0,4.9136619456058925,0.2974293707296679,0.20351420408444323,1.4614673804598763,12.210852245066594,146.53022694079914,14.614673804598763,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
10,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9751929689477836,3.637747886845938,0.0,4.101752296590008,0.27489535589203157,0.2437982422369459,1.1275526573520682,14.627894534216754,175.53473441060106,11.275526573520683,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
11,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9353990121162906,4.450228632639145,0.0,4.276249972672317,0.22470755607155496,0.23384975302907265,0.96090568051025,14.03098518174436,168.37182218093233,0.5036294106530051,0.96090568051025,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
12,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.2133824944243008,4.018365565723843,0.0,3.296569728326131,0.24885739827403341,0.3033456236060752,0.820375765820178,18.20073741636451,218.40884899637413,0.0798957974624069,0.820375765820178,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
13,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0719325600403322,3.08785628714677,0.0,3.7315780386869646,0.32384926855647694,0.26798314001008305,1.2084688183901864,16.078988400604985,192.94786080725981,12.084688183901864,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
14,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.161380806635415,3.3233800363226433,0.0,3.444176085179351,0.30089847958120103,0.29034520165885375,1.0363473474403997,17.420712099531226,209.0485451943747,10.363473474403996,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
15,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9717070994136656,4.870499109546392,0.0,4.116466785529946,0.2053177667233233,0.24292677485341643,0.845183767195746,14.575606491204987,174.90727789445984,0.09838956020184139,0.845183767195746,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
16,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8636193608923884,3.2063299854780567,0.0,4.631670132854307,0.31188305774176334,0.21590484022309708,1.4445394434858005,12.954290413385825,155.4514849606299,14.445394434858004,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
