phase,phase_name,ramp_configuration,course_range,total_ramps,active_up_ramps,active_down_ramps,corner_delays_per_block,friction_mu,ramp_angle_deg,team_size_workers,team_length_m,total_min_safety_distance_m,baseline_safety_headway_min,corner_delay_median_min,corner_delay_sigma,trials,mean_capacity_blocks_per_hour,median_capacity_blocks_per_hour,p2_5_capacity_blocks_per_hour,p10_capacity_blocks_per_hour,p25_capacity_blocks_per_hour,p75_capacity_blocks_per_hour,p90_capacity_blocks_per_hour,p97_5_capacity_blocks_per_hour,std_capacity_blocks_per_hour
1,16 ramps (12 up/4 down),16 ramps (12 up/4 down),0–9,16,12,4,0,0.3,7.0,32,23.0,41.0,4.555555555555555,2.8,0.35,10000,160.86005922185305,158.16672332424645,130.736523422029,134.57271880918802,142.661522417391,177.88180418512388,191.5530245625251,199.6143064625455,20.74991978752547
2,8 ramps (6 up/2 down),8 ramps (6 up/2 down),10–20,8,6,2,0,0.3,7.0,32,23.0,41.0,4.555555555555555,2.8,0.35,10000,80.22986350711936,78.75974931972016,65.38799618781589,67.20869811229929,71.15415866875756,88.76815393095293,95.72583247437726,99.91045122544686,10.38710033095453
3a,4 ramps (3 up/1 down),4 ramps (3 up/1 down),21–183,4,3,1,1,0.3,7.0,32,23.0,41.0,4.555555555555555,2.8,0.35,10000,24.49769242420802,24.31665720542027,17.369371669653727,19.700702805994506,21.804633281347865,26.976010172883516,29.489283784277966,32.8249788511324,3.8608779676795413
3b,2 ramps (2 up/down),2 ramps (2 up/down),184–198,2,2,0,2,0.3,7.0,32,23.0,41.0,4.555555555555555,2.8,0.35,10000,11.683192443257408,11.597856757852814,8.467826035636177,9.478791117299881,10.459511124282653,12.814725538557079,13.986967304527827,15.371914866877432,1.768149127596116
3c,1 ramp (1 up/down),1 ramp (1 up/down),199–203,1,1,0,2,0.3,7.0,32,23.0,41.0,4.555555555555555,2.8,0.35,10000,5.850430646094171,5.807743732243766,4.220807664081489,4.74543452744948,5.2305115339703985,6.4241892522359665,7.033942348588398,7.667643523135347,0.8894108997876887
