total_capacity_blocks_per_hour_mean,total_capacity_blocks_per_hour_p50,total_capacity_blocks_per_hour_p10,total_capacity_blocks_per_hour_p90,total_capacity_blocks_per_hour_p025,total_capacity_blocks_per_hour_p975,per_ramp_capacity_blocks_per_hour_mean,per_ramp_capacity_blocks_per_hour_p50,per_ramp_capacity_blocks_per_hour_p10,per_ramp_capacity_blocks_per_hour_p90,per_ramp_capacity_blocks_per_hour_p025,per_ramp_capacity_blocks_per_hour_p975,utilization_mean,utilization_p50,utilization_p10,utilization_p90,utilization_p025,utilization_p975,mean_corner_queue_length_mean,mean_corner_queue_length_p50,mean_corner_queue_length_p10,mean_corner_queue_length_p90,mean_corner_queue_length_p025,mean_corner_queue_length_p975,waiting_probability_mean,waiting_probability_p50,waiting_probability_p10,waiting_probability_p90,waiting_probability_p025,waiting_probability_p975,blocking_probability_mean,blocking_probability_p50,blocking_probability_p10,blocking_probability_p90,blocking_probability_p025,blocking_probability_p975,service_time_min_mean,service_time_min_p50,service_time_min_p10,service_time_min_p90,service_time_min_p025,service_time_min_p975,headway_arrival_min_mean,headway_arrival_min_p50,headway_arrival_min_p10,headway_arrival_min_p90,headway_arrival_min_p025,headway_arrival_min_p975,phase_label,phase_id,ramp_configuration,ramps_up,ramps_down
179.74094378124008,179.84713422745892,144.14376633239667,215.7620231940284,137.31301543066007,222.82669105868422,14.978411981770007,14.987261185621579,12.011980527699725,17.980168599502363,11.44275128588834,18.568890921557017,1.043595116483622,1.0194403179270448,0.7755193348701345,1.3552984446574132,0.7005140542835633,1.5357392323945152,6.651538437115796,10.20553269806394,0.0571306993835482,13.58202102671928,0.0349398052118817,15.385327366866518,0.9335480778517525,1.0,0.7755193348701345,1.0,0.7005140542835633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.092284997247921,4.003399905051134,3.337009871561749,4.995013097977525,3.231210752107839,5.243494201173857,4.005871373760325,4.015307139751588,3.205184786897292,4.8008939831813375,3.0476710906134614,4.950042122897979,Phase 1,1,16 straight edge-ramps,12,4
90.1116778329041,90.09511978590581,72.11349166368777,107.85696794094866,68.57756738489944,111.37877769437918,15.018612972150684,15.015853297650967,12.018915277281295,17.976161323491443,11.429594564149907,18.563129615729867,1.0418198981253022,1.0186114693764363,0.7715127313999093,1.3504501222916518,0.6999209693904793,1.5422403396238855,6.640394826581959,10.196060095038986,0.055718911692506125,13.515814125873181,0.034917313999482356,15.451145409762024,0.9324385113432392,1.0,0.7715127313999093,1.0,0.6999209693904793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.081438157097234,3.995776917312482,3.3377537573634637,4.992131038258321,3.2322135998643757,5.249530039292361,4.00333894276848,4.011293951619522,3.201254541933564,4.804155517648239,3.0497018547911265,4.948317526156606,Phase 2,2,8 straight edge-ramps,6,2
26.20549997244607,25.950460220950696,20.804704508755346,32.01553056325354,18.097022842283014,35.54667733535831,8.735166657482026,8.650153406983566,6.93490150291845,10.671843521084515,6.032340947427672,11.848892445119438,1.807089210097795,1.7495601360246817,1.3206826692647486,2.3708177669436914,1.1676186838157543,2.765362590835921,18.05063028508122,17.495601360246816,13.206826692647486,23.708177669436914,11.676186838157543,27.653625908359217,0.9998918452172889,1.0,1.0,1.0,1.0,1.0,0.27231631562564196,0.3,0.18534133463237412,0.3,0.10880934190787715,0.3,7.072660554893259,6.936293170427094,5.622271343108824,8.651889288191034,5.063764423297209,9.946387403254977,3.9992839640633355,3.993666788585017,3.203669390181082,4.802382077489993,3.0485016225104142,4.948213017851706,Phase 3a,3a,4 helical edge-ramps,3,1
14.630658821896565,14.501469615938111,11.124688059043626,18.290215085164927,9.568748028397199,20.466322404740733,7.315329410948283,7.250734807969055,5.562344029521813,9.145107542582464,4.784374014198599,10.233161202370367,2.1781422465231475,2.1041727068722986,1.5529951875111319,2.889718780898643,1.3430135783620099,3.433987667869654,21.783556100212458,21.041727068722984,15.529951875111317,28.89718780898643,13.4301357836201,34.33987667869655,0.9999942797814165,1.0,1.0,1.0,1.0,1.0,0.2929748123250459,0.3,0.3,0.3,0.19650678918100498,0.3,8.5172730113178,8.275023371988212,6.560885225680511,10.786819312549602,5.863290860925077,12.540825723877175,3.9935758143414,3.995676137612116,3.1995238118997174,4.803888384267941,3.048283585636329,4.947710315919671,Phase 3b,3b,2 helical edge-ramps,2,0
6.256556651542778,6.188215396462821,4.624686568340133,7.995282327465379,3.9223317153815813,9.063884519744514,6.256556651542778,6.188215396462821,4.624686568340133,7.995282327465379,3.9223317153815813,9.063884519744514,2.56123819867823,2.4676307603626224,1.7873782048168223,3.4664533834514097,1.515611815265729,4.1745320106640245,25.643497617897758,24.67630760362622,17.873782048168227,34.6645338345141,15.156118152657289,41.74532010664025,1.0,1.0,1.0,1.0,1.0,1.0,0.2982089870231524,0.3,0.3,0.3,0.28280590763286445,0.3,10.037554051972908,9.695848667928372,7.504425448267807,12.973852207220771,6.619678662120794,15.29702347868157,3.99823931679024,3.9956996487046057,3.1976213428183597,4.801233554636956,3.047053440424499,4.955626865311068,Phase 3c,3c,1 helical edge-ramp,1,0
