scenario,n,median_years,ci2.5_years,ci97.5_years,mean_years,std_years
baseline,10000.0,13.791193180861688,12.541309306368747,15.182462099486887,13.809567585180003,0.6741195922884453
conservative,10000.0,20.58889815796285,18.528836931866746,22.89795033105836,20.62295849974344,1.1157799979816025
