Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;2;16451;5.00;2.33;82255.00;38385.66;0.43940;0.20505
1;32400;2;16200;5.00;2.34;81000.00;37967.52;0.43269;0.20282
2;32041;2;16020;5.00;2.36;80100.00;37787.89;0.42788;0.20186
3;31684;2;15842;5.00;2.38;79210.00;37647.97;0.42313;0.20111
4;31329;2;15664;5.00;2.40;78320.00;37531.37;0.41838;0.20049
5;30976;2;15488;5.00;2.42;77440.00;37436.45;0.41368;0.19998
6;30976;2;15488;5.00;2.44;77440.00;37783.56;0.41368;0.20184
7;30625;2;15312;5.00;2.46;76560.00;37715.04;0.40897;0.20147
8;30276;2;15138;5.00;2.49;75690.00;37658.86;0.40433;0.20117
9;29929;2;14964;5.00;2.51;74820.00;37608.21;0.39968;0.20090
10;29584;2;14792;5.00;2.54;73960.00;37566.59;0.39509;0.20068
11;29241;2;14620;5.00;2.57;73100.00;37527.65;0.39049;0.20047
12;28900;2;14450;5.00;2.59;72250.00;37495.43;0.38595;0.20030
13;28561;2;14280;5.00;2.62;71400.00;37463.82;0.38141;0.20013
14;28224;2;14112;5.00;2.65;70560.00;37437.22;0.37692;0.19999
15;28224;2;14112;5.00;2.68;70560.00;37860.35;0.37692;0.20225
16;27889;2;13944;5.00;2.71;69720.00;37836.17;0.37244;0.20212
17;27556;2;13778;5.00;2.74;68890.00;37815.18;0.36800;0.20200
18;27225;2;13612;5.00;2.78;68060.00;37791.41;0.36357;0.20188
19;26896;2;13448;5.00;2.81;67240.00;37769.89;0.35919;0.20176
20;26569;2;13284;5.00;2.84;66420.00;37744.61;0.35481;0.20163
21;26244;2;13122;5.00;2.87;65610.00;37720.83;0.35048;0.20150
22;25921;2;12960;5.00;2.91;64800.00;37692.48;0.34615;0.20135
23;25600;2;12800;5.00;2.94;64000.00;37665.02;0.34188;0.20120
24;25600;2;12800;5.00;2.98;64000.00;38108.64;0.34188;0.20357
25;25281;2;12640;5.00;3.01;63200.00;38075.87;0.33761;0.20340
26;24964;2;12482;5.00;3.05;62410.00;38043.25;0.33339;0.20322
27;24649;2;12324;5.00;3.08;61620.00;38004.49;0.32917;0.20302
28;24336;2;12168;5.00;3.12;60840.00;37965.51;0.32500;0.20281
29;24025;2;12012;5.00;3.16;60060.00;37919.89;0.32083;0.20256
30;23716;2;11858;5.00;3.19;59290.00;37873.73;0.31672;0.20232
31;23409;2;11704;5.00;3.23;58520.00;37820.50;0.31261;0.20203
32;23409;2;11704;5.00;3.27;58520.00;38263.41;0.31261;0.20440
33;23104;2;11552;5.00;3.31;57760.00;38207.75;0.30855;0.20410
34;22801;2;11400;5.00;3.35;57000.00;38144.46;0.30449;0.20376
35;22500;2;11250;5.00;3.38;56250.00;38080.07;0.30048;0.20342
36;22201;2;11100;5.00;3.42;55500.00;38007.73;0.29647;0.20303
37;21904;2;10952;5.00;3.46;54760.00;37934.14;0.29252;0.20264
38;21609;2;10804;5.00;3.50;54020.00;37852.32;0.28857;0.20220
39;21316;2;10658;5.00;3.54;53290.00;37769.15;0.28467;0.20176
40;21025;2;10512;5.00;3.58;52560.00;37677.52;0.28077;0.20127
41;21025;2;10512;5.00;3.63;52560.00;38106.47;0.28077;0.20356
42;20736;2;10368;5.00;3.67;51840.00;38010.64;0.27692;0.20305
43;20449;2;10224;5.00;3.71;51120.00;37906.00;0.27308;0.20249
44;20164;2;10082;5.00;3.75;50410.00;37799.85;0.26928;0.20192
45;19881;2;9940;5.00;3.79;49700.00;37684.69;0.26549;0.20131
46;19600;2;9800;5.00;3.83;49000.00;37568.03;0.26175;0.20068
47;19321;2;9660;5.00;3.88;48300.00;37442.21;0.25801;0.20001
48;19044;2;9522;5.00;3.92;47610.00;37314.91;0.25433;0.19933
49;19044;2;9522;5.00;3.96;47610.00;37725.06;0.25433;0.20152
50;18769;2;9384;5.00;4.01;46920.00;37585.01;0.25064;0.20077
51;18496;2;9248;5.00;4.05;46240.00;37443.50;0.24701;0.20002
52;18225;2;9112;5.00;4.09;45560.00;37292.47;0.24338;0.19921
53;17956;2;8978;5.00;4.14;44890.00;37140.07;0.23980;0.19840
54;17689;2;8844;5.00;4.18;44220.00;36978.07;0.23622;0.19753
