Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;1;32902;4.56;2.33;149886.90;76771.33;0.80068;0.41010
1;32400;1;32400;4.56;2.34;147600.00;75935.04;0.78846;0.40564
2;32041;1;32041;4.56;2.36;145964.50;75578.15;0.77973;0.40373
3;31684;1;31684;4.56;2.38;144338.20;75295.95;0.77104;0.40222
4;31329;1;31329;4.56;2.40;142721.00;75065.13;0.76240;0.40099
5;30976;1;30976;4.56;2.42;141112.90;74872.90;0.75381;0.39996
6;30976;1;30976;4.56;2.44;141112.90;75567.13;0.75381;0.40367
7;30625;1;30625;4.56;2.46;139513.90;75432.53;0.74527;0.40295
8;30276;1;30276;4.56;2.49;137924.00;75317.71;0.73677;0.40234
9;29929;1;29929;4.56;2.51;136343.20;75218.94;0.72833;0.40181
10;29584;1;29584;4.56;2.54;134771.50;75133.17;0.71993;0.40135
11;29241;1;29241;4.56;2.57;133209.00;75057.88;0.71159;0.40095
12;28900;1;28900;4.56;2.59;131655.50;74990.87;0.70329;0.40059
13;28561;1;28561;4.56;2.62;130111.20;74930.27;0.69504;0.40027
14;28224;1;28224;4.56;2.65;128576.00;74874.44;0.68684;0.39997
15;28224;1;28224;4.56;2.68;128576.00;75720.70;0.68684;0.40449
16;27889;1;27889;4.56;2.71;127049.90;75675.05;0.67869;0.40425
17;27556;1;27556;4.56;2.74;125532.90;75630.37;0.67058;0.40401
18;27225;1;27225;4.56;2.78;124025.00;75585.59;0.66253;0.40377
19;26896;1;26896;4.56;2.81;122526.20;75539.77;0.65452;0.40352
20;26569;1;26569;4.56;2.84;121036.50;75492.05;0.64656;0.40327
21;26244;1;26244;4.56;2.87;119556.00;75441.66;0.63865;0.40300
22;25921;1;25921;4.56;2.91;118084.50;75387.88;0.63079;0.40271
23;25600;1;25600;4.56;2.94;116622.20;75330.03;0.62298;0.40240
24;25600;1;25600;4.56;2.98;116622.20;76217.27;0.62298;0.40714
25;25281;1;25281;4.56;3.01;115169.00;76154.75;0.61522;0.40681
26;24964;1;24964;4.56;3.05;113724.90;76086.50;0.60750;0.40645
27;24649;1;24649;4.56;3.08;112289.90;76012.07;0.59984;0.40605
28;24336;1;24336;4.56;3.12;110864.00;75931.02;0.59222;0.40561
29;24025;1;24025;4.56;3.16;109447.20;75842.93;0.58465;0.40514
30;23716;1;23716;4.56;3.19;108039.50;75747.45;0.57713;0.40463
31;23409;1;23409;4.56;3.23;106641.00;75644.23;0.56966;0.40408
32;23409;1;23409;4.56;3.27;106641.00;76530.09;0.56966;0.40881
33;23104;1;23104;4.56;3.31;105251.50;76415.51;0.56224;0.40820
34;22801;1;22801;4.56;3.35;103871.20;76292.27;0.55487;0.40754
35;22500;1;22500;4.56;3.38;102500.00;76160.15;0.54754;0.40684
36;22201;1;22201;4.56;3.42;101137.90;76018.88;0.54027;0.40608
37;21904;1;21904;4.56;3.46;99784.88;75868.27;0.53304;0.40528
38;21609;1;21609;4.56;3.50;98440.99;75708.14;0.52586;0.40442
39;21316;1;21316;4.56;3.54;97106.22;75538.30;0.51873;0.40352
40;21025;1;21025;4.56;3.58;95780.55;75358.62;0.51165;0.40256
41;21025;1;21025;4.56;3.63;95780.55;76216.56;0.51165;0.40714
42;20736;1;20736;4.56;3.67;94463.99;76021.29;0.50462;0.40610
43;20449;1;20449;4.56;3.71;93156.55;75815.70;0.49763;0.40500
44;20164;1;20164;4.56;3.75;91858.22;75599.70;0.49070;0.40384
45;19881;1;19881;4.56;3.79;90568.99;75373.17;0.48381;0.40263
46;19600;1;19600;4.56;3.83;89288.88;75136.06;0.47697;0.40137
47;19321;1;19321;4.56;3.88;88017.88;74888.30;0.47018;0.40004
48;19044;1;19044;4.56;3.92;86755.99;74629.83;0.46344;0.39866
49;19044;1;19044;4.56;3.96;86755.99;75450.12;0.46344;0.40305
50;18769;1;18769;4.56;4.01;85503.22;75174.02;0.45675;0.40157
51;18496;1;18496;4.56;4.05;84259.55;74886.99;0.45010;0.40004
52;18225;1;18225;4.56;4.09;83025.00;74589.04;0.44351;0.39845
53;17956;1;17956;4.56;4.14;81799.55;74280.15;0.43696;0.39680
54;17689;1;17689;4.56;4.18;80583.22;73960.32;0.43047;0.39509
55;17424;1;17424;4.56;4.23;79376.00;73629.55;0.42402;0.39332
56;17161;1;17161;4.56;4.27;78177.88;73287.88;0.41762;0.39150
57;17161;1;17161;4.56;4.32;78177.88;74061.70;0.41762;0.39563
58;16900;1;16900;4.56;4.36;76988.88;73701.39;0.41127;0.39370
59;16641;1;16641;4.56;4.41;75809.00;73330.14;0.40496;0.39172
60;16384;1;16384;4.56;4.45;74638.22;72947.99;0.39871;0.38968
61;16129;1;16129;4.56;4.50;73476.55;72555.01;0.39250;0.38758
62;15876;1;15876;4.56;4.54;72324.00;72151.24;0.38635;0.38542
63;15625;1;15625;4.56;4.59;71180.55;71736.75;0.38024;0.38321
64;15376;1;15376;4.56;4.64;70046.22;71311.63;0.37418;0.38094
65;15376;1;15376;4.56;4.68;70046.22;72033.06;0.37418;0.38479
66;15129;1;15129;4.56;4.73;68921.00;71589.05;0.36817;0.38242
67;14884;1;14884;4.56;4.78;67804.88;71134.52;0.36221;0.37999
68;14641;1;14641;4.56;4.83;66697.88;70669.55;0.35629;0.37751
69;14400;1;14400;4.56;4.87;65600.00;70194.24;0.35043;0.37497
70;14161;1;14161;4.56;4.92;64511.22;69708.70;0.34461;0.37238
71;13924;1;13924;4.56;4.97;63431.55;69213.02;0.33884;0.36973
72;13689;1;13689;4.56;5.02;62361.00;68707.34;0.33313;0.36703
73;13689;1;13689;4.56;5.07;62361.00;69372.55;0.33313;0.37058
74;13456;1;13456;4.56;5.12;61299.55;68848.35;0.32745;0.36778
75;13225;1;13225;4.56;5.17;60247.22;68314.37;0.32183;0.36493
76;12996;1;12996;4.56;5.21;59204.00;67770.72;0.31626;0.36202
77;12769;1;12769;4.56;5.26;58169.89;67217.56;0.31074;0.35907
78;12544;1;12544;4.56;5.31;57144.89;66655.02;0.30526;0.35606
79;12321;1;12321;4.56;5.36;56129.00;66083.27;0.29983;0.35301
80;12321;1;12321;4.56;5.41;56129.00;66698.79;0.29983;0.35630
81;12100;1;12100;4.56;5.46;55122.22;66109.17;0.29446;0.35315
82;11881;1;11881;4.56;5.51;54124.55;65510.64;0.28913;0.34995
83;11664;1;11664;4.56;5.56;53136.00;64903.34;0.28385;0.34671
84;11449;1;11449;4.56;5.62;52156.55;64287.43;0.27861;0.34342
85;11236;1;11236;4.56;5.67;51186.22;63663.10;0.27343;0.34008
86;11025;1;11025;4.56;5.72;50225.00;63030.51;0.26830;0.33670
87;10816;1;10816;4.56;5.77;49272.89;62389.84;0.26321;0.33328
88;10816;1;10816;4.56;5.82;49272.89;62945.95;0.26321;0.33625
89;10609;1;10609;4.56;5.87;48329.89;62288.59;0.25817;0.33274
90;10404;1;10404;4.56;5.92;47396.00;61623.55;0.25318;0.32919
91;10201;1;10201;4.56;5.98;46471.22;60950.97;0.24824;0.32559
92;10000;1;10000;4.56;6.03;45555.55;60271.10;0.24335;0.32196
