Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;1;32902;7.00;2.33;230314.00;76771.33;1.23031;0.41010
1;32400;1;32400;7.00;2.34;226800.00;75935.04;1.21154;0.40564
2;32041;1;32041;7.00;2.36;224287.00;75578.15;1.19811;0.40373
3;31684;1;31684;7.00;2.38;221788.00;75295.95;1.18477;0.40222
4;31329;1;31329;7.00;2.40;219303.00;75065.13;1.17149;0.40099
5;30976;1;30976;7.00;2.42;216832.00;74872.90;1.15829;0.39996
6;30976;1;30976;7.00;2.44;216832.00;75567.13;1.15829;0.40367
7;30625;1;30625;7.00;2.46;214375.00;75432.53;1.14517;0.40295
8;30276;1;30276;7.00;2.49;211932.00;75317.71;1.13212;0.40234
9;29929;1;29929;7.00;2.51;209503.00;75218.94;1.11914;0.40181
10;29584;1;29584;7.00;2.54;207088.00;75133.17;1.10624;0.40135
11;29241;1;29241;7.00;2.57;204687.00;75057.88;1.09341;0.40095
12;28900;1;28900;7.00;2.59;202300.00;74990.87;1.08066;0.40059
13;28561;1;28561;7.00;2.62;199927.00;74930.27;1.06799;0.40027
14;28224;1;28224;7.00;2.65;197568.00;74874.44;1.05539;0.39997
15;28224;1;28224;7.00;2.68;197568.00;75720.70;1.05539;0.40449
16;27889;1;27889;7.00;2.71;195223.00;75675.05;1.04286;0.40425
17;27556;1;27556;7.00;2.74;192892.00;75630.37;1.03041;0.40401
18;27225;1;27225;7.00;2.78;190575.00;75585.59;1.01803;0.40377
19;26896;1;26896;7.00;2.81;188272.00;75539.77;1.00573;0.40352
20;26569;1;26569;7.00;2.84;185983.00;75492.05;0.99350;0.40327
21;26244;1;26244;7.00;2.87;183708.00;75441.66;0.98135;0.40300
22;25921;1;25921;7.00;2.91;181447.00;75387.88;0.96927;0.40271
23;25600;1;25600;7.00;2.94;179200.00;75330.03;0.95727;0.40240
24;25600;1;25600;7.00;2.98;179200.00;76217.27;0.95727;0.40714
25;25281;1;25281;7.00;3.01;176967.00;76154.75;0.94534;0.40681
26;24964;1;24964;7.00;3.05;174748.00;76086.50;0.93348;0.40645
27;24649;1;24649;7.00;3.08;172543.00;76012.07;0.92170;0.40605
28;24336;1;24336;7.00;3.12;170352.00;75931.02;0.91000;0.40561
29;24025;1;24025;7.00;3.16;168175.00;75842.93;0.89837;0.40514
30;23716;1;23716;7.00;3.19;166012.00;75747.45;0.88682;0.40463
31;23409;1;23409;7.00;3.23;163863.00;75644.23;0.87534;0.40408
32;23409;1;23409;7.00;3.27;163863.00;76530.09;0.87534;0.40881
33;23104;1;23104;7.00;3.31;161728.00;76415.51;0.86393;0.40820
34;22801;1;22801;7.00;3.35;159607.00;76292.27;0.85260;0.40754
35;22500;1;22500;7.00;3.38;157500.00;76160.15;0.84135;0.40684
36;22201;1;22201;7.00;3.42;155407.00;76018.88;0.83017;0.40608
37;21904;1;21904;7.00;3.46;153328.00;75868.27;0.81906;0.40528
38;21609;1;21609;7.00;3.50;151263.00;75708.14;0.80803;0.40442
39;21316;1;21316;7.00;3.54;149212.00;75538.30;0.79707;0.40352
40;21025;1;21025;7.00;3.58;147175.00;75358.62;0.78619;0.40256
41;21025;1;21025;7.00;3.63;147175.00;76216.56;0.78619;0.40714
42;20736;1;20736;7.00;3.67;145152.00;76021.29;0.77538;0.40610
43;20449;1;20449;7.00;3.71;143143.00;75815.70;0.76465;0.40500
44;20164;1;20164;7.00;3.75;141148.00;75599.70;0.75400;0.40384
45;19881;1;19881;7.00;3.79;139167.00;75373.17;0.74341;0.40263
46;19600;1;19600;7.00;3.83;137200.00;75136.06;0.73291;0.40137
47;19321;1;19321;7.00;3.88;135247.00;74888.30;0.72247;0.40004
