Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;2;16451;7.00;2.33;115157.00;38385.66;0.61515;0.20505
1;32400;2;16200;7.00;2.34;113400.00;37967.52;0.60577;0.20282
2;32041;2;16020;7.00;2.36;112140.00;37787.89;0.59904;0.20186
3;31684;2;15842;7.00;2.38;110894.00;37647.97;0.59238;0.20111
4;31329;2;15664;7.00;2.40;109648.00;37531.37;0.58573;0.20049
5;30976;2;15488;7.00;2.42;108416.00;37436.45;0.57915;0.19998
6;30976;2;15488;7.00;2.44;108416.00;37783.56;0.57915;0.20184
7;30625;2;15312;7.00;2.46;107184.00;37715.04;0.57256;0.20147
8;30276;2;15138;7.00;2.49;105966.00;37658.86;0.56606;0.20117
9;29929;2;14964;7.00;2.51;104748.00;37608.21;0.55955;0.20090
10;29584;2;14792;7.00;2.54;103544.00;37566.59;0.55312;0.20068
11;29241;2;14620;7.00;2.57;102340.00;37527.65;0.54669;0.20047
12;28900;2;14450;7.00;2.59;101150.00;37495.43;0.54033;0.20030
13;28561;2;14280;7.00;2.62;99960.00;37463.82;0.53397;0.20013
14;28224;2;14112;7.00;2.65;98784.00;37437.22;0.52769;0.19999
15;28224;2;14112;7.00;2.68;98784.00;37860.35;0.52769;0.20225
16;27889;2;13944;7.00;2.71;97608.00;37836.17;0.52141;0.20212
17;27556;2;13778;7.00;2.74;96446.00;37815.18;0.51520;0.20200
18;27225;2;13612;7.00;2.78;95284.00;37791.41;0.50900;0.20188
19;26896;2;13448;7.00;2.81;94136.00;37769.89;0.50286;0.20176
20;26569;2;13284;7.00;2.84;92988.00;37744.61;0.49673;0.20163
21;26244;2;13122;7.00;2.87;91854.00;37720.83;0.49067;0.20150
22;25921;2;12960;7.00;2.91;90720.00;37692.48;0.48462;0.20135
23;25600;2;12800;7.00;2.94;89600.00;37665.02;0.47863;0.20120
24;25600;2;12800;7.00;2.98;89600.00;38108.64;0.47863;0.20357
25;25281;2;12640;7.00;3.01;88480.00;38075.87;0.47265;0.20340
26;24964;2;12482;7.00;3.05;87374.00;38043.25;0.46674;0.20322
27;24649;2;12324;7.00;3.08;86268.00;38004.49;0.46083;0.20302
28;24336;2;12168;7.00;3.12;85176.00;37965.51;0.45500;0.20281
29;24025;2;12012;7.00;3.16;84084.00;37919.89;0.44917;0.20256
30;23716;2;11858;7.00;3.19;83006.00;37873.73;0.44341;0.20232
31;23409;2;11704;7.00;3.23;81928.00;37820.50;0.43765;0.20203
32;23409;2;11704;7.00;3.27;81928.00;38263.41;0.43765;0.20440
33;23104;2;11552;7.00;3.31;80864.00;38207.75;0.43197;0.20410
34;22801;2;11400;7.00;3.35;79800.00;38144.46;0.42628;0.20376
35;22500;2;11250;7.00;3.38;78750.00;38080.07;0.42067;0.20342
36;22201;2;11100;7.00;3.42;77700.00;38007.73;0.41506;0.20303
37;21904;2;10952;7.00;3.46;76664.00;37934.14;0.40953;0.20264
38;21609;2;10804;7.00;3.50;75628.00;37852.32;0.40400;0.20220
39;21316;2;10658;7.00;3.54;74606.00;37769.15;0.39854;0.20176
40;21025;2;10512;7.00;3.58;73584.00;37677.52;0.39308;0.20127
41;21025;2;10512;7.00;3.63;73584.00;38106.47;0.39308;0.20356
42;20736;2;10368;7.00;3.67;72576.00;38010.64;0.38769;0.20305
43;20449;2;10224;7.00;3.71;71568.00;37906.00;0.38231;0.20249
44;20164;2;10082;7.00;3.75;70574.00;37799.85;0.37700;0.20192
45;19881;2;9940;7.00;3.79;69580.00;37684.69;0.37169;0.20131
46;19600;2;9800;7.00;3.83;68600.00;37568.03;0.36645;0.20068
47;19321;2;9660;7.00;3.88;67620.00;37442.21;0.36122;0.20001
48;19044;2;9522;7.00;3.92;66654.00;37314.91;0.35606;0.19933
49;19044;2;9522;7.00;3.96;66654.00;37725.06;0.35606;0.20152
50;18769;2;9384;7.00;4.01;65688.00;37585.01;0.35090;0.20077
51;18496;2;9248;7.00;4.05;64736.00;37443.50;0.34581;0.20002
52;18225;2;9112;7.00;4.09;63784.00;37292.47;0.34073;0.19921
53;17956;2;8978;7.00;4.14;62846.00;37140.07;0.33572;0.19840
54;17689;2;8844;7.00;4.18;61908.00;36978.07;0.33071;0.19753
55;17424;2;8712;7.00;4.23;60984.00;36814.77;0.32577;0.19666
56;17161;2;8580;7.00;4.27;60060.00;36641.80;0.32083;0.19574
57;17161;2;8580;7.00;4.32;60060.00;37028.70;0.32083;0.19780
58;16900;2;8450;7.00;4.36;59150.00;36850.70;0.31597;0.19685
59;16641;2;8320;7.00;4.41;58240.00;36662.87;0.31111;0.19585
60;16384;2;8192;7.00;4.45;57344.00;36474.00;0.30632;0.19484
61;16129;2;8064;7.00;4.50;56448.00;36275.25;0.30154;0.19378
62;15876;2;7938;7.00;4.54;55566.00;36075.62;0.29683;0.19271
63;15625;2;7812;7.00;4.59;54684.00;35866.08;0.29212;0.19159
64;15376;2;7688;7.00;4.64;53816.00;35655.81;0.28748;0.19047
65;15376;2;7688;7.00;4.68;53816.00;36016.53;0.28748;0.19240
66;15129;2;7564;7.00;4.73;52948.00;35792.16;0.28284;0.19120
67;14884;2;7442;7.00;4.78;52094.00;35567.26;0.27828;0.19000
68;14641;2;7320;7.00;4.83;51240.00;35332.36;0.27372;0.18874
69;14400;2;7200;7.00;4.87;50400.00;35097.12;0.26923;0.18748
70;14161;2;7080;7.00;4.92;49560.00;34851.89;0.26474;0.18617
71;13924;2;6962;7.00;4.97;48734.00;34606.51;0.26033;0.18486
72;13689;2;6844;7.00;5.02;47908.00;34351.16;0.25592;0.18350
73;13689;2;6844;7.00;5.07;47908.00;34683.74;0.25592;0.18528
74;13456;2;6728;7.00;5.12;47096.00;34424.18;0.25158;0.18389
75;13225;2;6612;7.00;5.17;46284.00;34154.60;0.24724;0.18245
76;12996;2;6498;7.00;5.21;45486.00;33885.36;0.24298;0.18101
77;12769;2;6384;7.00;5.26;44688.00;33606.15;0.23872;0.17952
78;12544;2;6272;7.00;5.31;43904.00;33327.51;0.23453;0.17803
79;12321;2;6160;7.00;5.36;43120.00;33038.95;0.23034;0.17649
80;12321;2;6160;7.00;5.41;43120.00;33346.69;0.23034;0.17813
81;12100;2;6050;7.00;5.46;42350.00;33054.59;0.22623;0.17657
82;11881;2;5940;7.00;5.51;41580.00;32752.56;0.22212;0.17496
83;11664;2;5832;7.00;5.56;40824.00;32451.67;0.21808;0.17335
84;11449;2;5724;7.00;5.62;40068.00;32140.91;0.21404;0.17169
85;11236;2;5618;7.00;5.67;39326.00;31831.55;0.21007;0.17004
86;11025;2;5512;7.00;5.72;38584.00;31512.40;0.20611;0.16834
87;10816;2;5408;7.00;5.77;37856.00;31194.92;0.20222;0.16664
88;10816;2;5408;7.00;5.82;37856.00;31472.97;0.20222;0.16812
89;10609;2;5304;7.00;5.87;37128.00;31141.36;0.19833;0.16635
90;10404;2;5202;7.00;5.92;36414.00;30811.77;0.19452;0.16459
91;10201;2;5100;7.00;5.98;35700.00;30472.50;0.19071;0.16278
92;10000;2;5000;7.00;6.03;35000.00;30135.55;0.18697;0.16098
93;9801;2;4900;7.00;6.08;34300.00;29789.01;0.18323;0.15913
94;9604;2;4802;7.00;6.13;33614.00;29445.08;0.17956;0.15729
95;9409;2;4704;7.00;6.18;32928.00;29091.67;0.17590;0.15540
96;9409;2;4704;7.00;6.24;32928.00;29339.96;0.17590;0.15673
97;9216;2;4608;7.00;6.29;32256.00;28985.17;0.17231;0.15484
98;9025;2;4512;7.00;6.34;31584.00;28620.95;0.16872;0.15289
99;8836;2;4418;7.00;6.40;30926.00;28260.05;0.16520;0.15096
100;8649;2;4324;7.00;6.45;30268.00;27889.83;0.16169;0.14898
101;8464;2;4232;7.00;6.50;29624.00;27523.25;0.15825;0.14703
102;8281;2;4140;7.00;6.56;28980.00;27147.47;0.15481;0.14502
103;8100;2;4050;7.00;6.61;28350.00;26775.66;0.15144;0.14303
104;7921;2;3960;7.00;6.67;27720.00;26394.77;0.14808;0.14100
105;7744;2;3872;7.00;6.72;27104.00;26018.19;0.14479;0.13899
106;7744;2;3872;7.00;6.77;27104.00;26228.76;0.14479;0.14011
107;7569;2;3784;7.00;6.83;26488.00;25839.03;0.14150;0.13803
