Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;12;2741;7.00;2.33;19187.00;6395.67;0.10249;0.03416
1;32400;12;2700;7.00;2.34;18900.00;6327.92;0.10096;0.03380
2;32041;12;2670;7.00;2.36;18690.00;6297.98;0.09984;0.03364
3;31684;12;2640;7.00;2.38;18480.00;6273.87;0.09872;0.03351
4;31329;12;2610;7.00;2.40;18270.00;6253.63;0.09760;0.03341
5;30976;12;2581;7.00;2.42;18067.00;6238.60;0.09651;0.03333
6;30976;12;2581;7.00;2.44;18067.00;6296.45;0.09651;0.03363
7;30625;12;2552;7.00;2.46;17864.00;6285.84;0.09543;0.03358
8;30276;12;2523;7.00;2.49;17661.00;6276.48;0.09434;0.03353
9;29929;12;2494;7.00;2.51;17458.00;6268.04;0.09326;0.03348
10;29584;6;4930;7.00;2.54;34510.00;12520.50;0.18435;0.06688
11;29241;6;4873;7.00;2.57;34111.00;12508.36;0.18222;0.06682
12;28900;6;4816;7.00;2.59;33712.00;12496.75;0.18009;0.06676
13;28561;6;4760;7.00;2.62;33320.00;12487.94;0.17799;0.06671
14;28224;6;4704;7.00;2.65;32928.00;12479.07;0.17590;0.06666
15;28224;6;4704;7.00;2.68;32928.00;12620.12;0.17590;0.06742
16;27889;6;4648;7.00;2.71;32536.00;12612.06;0.17380;0.06737
17;27556;6;4592;7.00;2.74;32144.00;12603.23;0.17171;0.06732
18;27225;6;4537;7.00;2.78;31759.00;12596.21;0.16965;0.06729
19;26896;6;4482;7.00;2.81;31374.00;12588.09;0.16760;0.06724
20;26569;6;4428;7.00;2.84;30996.00;12581.54;0.16558;0.06721
21;26244;3;8748;7.00;2.87;61236.00;25147.22;0.32712;0.13433
22;25921;3;8640;7.00;2.91;60480.00;25128.32;0.32308;0.13423
23;25600;3;8533;7.00;2.94;59731.00;25109.03;0.31908;0.13413
24;25600;3;8533;7.00;2.98;59731.00;25404.77;0.31908;0.13571
25;25281;3;8427;7.00;3.01;58989.00;25384.92;0.31511;0.13560
26;24964;3;8321;7.00;3.05;58247.00;25361.15;0.31115;0.13548
27;24649;3;8216;7.00;3.08;57512.00;25336.33;0.30722;0.13534
28;24336;3;8112;7.00;3.12;56784.00;25310.34;0.30333;0.13520
29;24025;3;8008;7.00;3.16;56056.00;25279.92;0.29944;0.13504
30;23716;3;7905;7.00;3.19;55335.00;25248.09;0.29559;0.13487
31;23409;3;7803;7.00;3.23;54621.00;25214.74;0.29178;0.13469
32;23409;3;7803;7.00;3.27;54621.00;25510.03;0.29178;0.13627
33;23104;3;7701;7.00;3.31;53907.00;25470.73;0.28796;0.13606
34;22801;3;7600;7.00;3.35;53200.00;25429.64;0.28419;0.13584
35;22500;3;7500;7.00;3.38;52500.00;25386.71;0.28045;0.13561
36;22201;3;7400;7.00;3.42;51800.00;25338.49;0.27671;0.13536
37;21904;3;7301;7.00;3.46;51107.00;25288.27;0.27301;0.13509
38;21609;3;7203;7.00;3.50;50421.00;25236.05;0.26934;0.13481
39;21316;3;7105;7.00;3.54;49735.00;25178.25;0.26568;0.13450
40;21025;3;7008;7.00;3.58;49056.00;25118.34;0.26205;0.13418
41;21025;3;7008;7.00;3.63;49056.00;25404.31;0.26205;0.13571
42;20736;3;6912;7.00;3.67;48384.00;25340.43;0.25846;0.13537
43;20449;3;6816;7.00;3.71;47712.00;25270.66;0.25487;0.13499
44;20164;3;6721;7.00;3.75;47047.00;25198.65;0.25132;0.13461
45;19881;3;6627;7.00;3.79;46389.00;25124.39;0.24780;0.13421
46;19600;3;6533;7.00;3.83;45731.00;25044.08;0.24429;0.13378
47;19321;3;6440;7.00;3.88;45080.00;24961.47;0.24081;0.13334
48;19044;3;6348;7.00;3.92;44436.00;24876.61;0.23737;0.13289
49;19044;3;6348;7.00;3.96;44436.00;25150.04;0.23737;0.13435
50;18769;3;6256;7.00;4.01;43792.00;25056.67;0.23393;0.13385
51;18496;3;6165;7.00;4.05;43155.00;24960.98;0.23053;0.13334
52;18225;3;6075;7.00;4.09;42525.00;24863.01;0.22716;0.13282
53;17956;3;5985;7.00;4.14;41895.00;24758.67;0.22380;0.13226
54;17689;3;5896;7.00;4.18;41272.00;24652.05;0.22047;0.13169
55;17424;3;5808;7.00;4.23;40656.00;24543.18;0.21718;0.13111
56;17161;3;5720;7.00;4.27;40040.00;24427.87;0.21389;0.13049
57;17161;3;5720;7.00;4.32;40040.00;24685.80;0.21389;0.13187
58;16900;3;5633;7.00;4.36;39431.00;24565.68;0.21064;0.13123
59;16641;3;5547;7.00;4.41;38829.00;24443.38;0.20742;0.13057
60;16384;3;5461;7.00;4.45;38227.00;24314.51;0.20420;0.12989
61;16129;3;5376;7.00;4.50;37632.00;24183.50;0.20103;0.12919
62;15876;3;5292;7.00;4.54;37044.00;24050.41;0.19788;0.12847
63;15625;3;5208;7.00;4.59;36456.00;23910.72;0.19474;0.12773
64;15376;3;5125;7.00;4.64;35875.00;23768.99;0.19164;0.12697
65;15376;3;5125;7.00;4.68;35875.00;24009.46;0.19164;0.12826
