Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
2;21092;7,50;10,78;222,25;7585,688;4738,093;2847,595;4541606,000;2131018,000;2412527,000;86893,090;44189,380;131072,900;98;99,13;98,64
3;20840;7,52;16,13;227,60;7521,466;4784,281;2737,185;4671856,000;2219203,000;2455009,000;87789,400;42474,500;130265,900;98;99,15;98,63
4;20589;7,53;21,49;232,96;7459,837;4831,261;2628,577;4801341,000;2306176,000;2495854,000;88656,100;40838,310;129473,800;98;99,18;98,63
5;20339;7,53;26,84;238,31;7400,850;4872,960;2527,889;4930090,000;2397306,000;2535135,000;89441,840;39281,650;128707,900;98;99,21;98,62
6;20092;7,54;32,20;243,67;7344,478;4913,375;2431,103;5058094,000;2487166,000;2572944,000;90178,190;37804,940;127971,400;98;99,24;98,61
7;19845;7,54;37,55;249,02;7290,790;4950,422;2340,368;5185400,000;2575764,000;2609350,000;90874,910;36408,530;127267,200;98;99,27;98,60
8;19600;7,54;42,91;254,38;7239,787;4987,169;2252,617;5312004,000;2668249,000;2644431,000;91517,430;35091,980;126595,600;98;99,30;98,59
9;19357;7,54;48,26;259,73;7285,804;5090,188;2195,615;5439424,000;2760733,000;2678450,000;93444,320;34026,400;127458,500;98;100,64;100,00
10;19116;7,54;53,62;265,09;7240,910;5120,864;2120,045;5566257,000;2856966,000;2711306,000;94013,980;32867,200;126870,200;98;99,38;98,58
11;18875;7,54;58,97;270,44;7198,667;5151,163;2047,505;5692598,000;2951819,000;2743081,000;94538,280;31787,660;126316,100;98;99,42;98,57
12;18637;7,54;64,33;275,80;7159,079;5176,665;1982,414;5818412,000;3045303,000;2773861,000;95018,340;30786,810;125796,500;98;99,45;98,56
13;18400;7,55;69,68;281,15;7122,220;5200,230;1921,990;5943757,000;3142275,000;2803722,000;95454,550;29864,050;125310,600;98;99,49;98,55
14;18164;7,55;75,04;286,51;7087,959;5221,474;1866,486;6068633,000;3237826,000;2832740,000;95847,570;29018,150;124859,000;98;99,52;98,53
15;17930;7,55;80,40;291,86;7056,209;5240,445;1815,764;6193034,000;3331968,000;2860993,000;96199,680;28248,730;124440,300;98;99,55;98,52
16;17697;7,55;85,75;297,22;7128,003;5336,404;1791,599;6318694,000;3430816,000;2888716,000;97964,870;27722,310;125680,000;98;101,02;100,00
17;17466;7,55;91,11;302,58;7102,232;5351,585;1750,646;6444038,000;3528194,000;2915827,000;98247,070;27102,540;125343,000;98;99,64;98,51
18;17237;7,55;96,46;307,93;7078,919;5365,950;1712,969;6569091,000;3628681,000;2942389,000;98488,090;26555,430;125037,600;98;99,67;98,50
19;17009;7,55;101,82;313,29;7057,953;5376,786;1681,167;6693893,000;3727652,000;2968470,000;98688,580;26079,670;124762,600;98;99,70;98,49
20;16782;7,55;107,17;318,64;7039,235;5385,157;1654,078;6818435,000;3825117,000;2994150,000;98848,980;25673,510;124517,200;98;99,73;98,48
21;16557;7,55;112,53;324,00;7022,687;5391,684;1631,003;6942716,000;3925451,000;3019495,000;98969,980;25334,960;124300,200;98;99,76;98,47
22;16333;7,55;117,89;329,35;7008,252;5396,100;1612,152;7066780,000;4024235,000;3044557,000;99052,130;25062,520;124110,500;98;99,79;98,46
23;16111;7,55;123,24;334,71;6995,772;5398,127;1597,645;7190673,000;4121482,000;3069404,000;99096,040;24853,860;123946,300;98;99,82;98,44
24;15891;7,55;128,60;340,07;7095,540;5484,439;1611,100;7316221,000;4222957,000;3094296,000;100681,900;24896,660;125574,800;98;101,43;100,00
25;15672;7,55;133,95;345,42;7087,802;5484,553;1603,249;7441714,000;4322840,000;3119094,000;100663,300;24813,040;125472,900;98;99,89;98,43
26;15455;7,55;139,31;350,78;7081,674;5481,430;1600,244;7567166,000;4424152,000;3143869,000;100607,800;24786,430;125391,200;98;99,91;98,42
27;15239;7,55;144,66;356,13;7076,960;5476,072;1600,888;7692489,000;4520890,000;3168678,000;100516,100;24813,860;125327,100;98;99,93;98,41
28;15024;7,55;150,02;361,49;7073,516;5469,124;1604,392;7817737,000;4624005,000;3193568,000;100388,600;24892,030;125278,000;98;99,95;98,39
29;14812;7,55;155,37;366,84;7071,132;5460,239;1610,892;7942942,000;4725450,000;3218586,000;100226,100;25017,570;125241,200;98;99,97;98,38
