Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
5;529;7,60;26,60;973,51;525,217;514,985;10,232;1855644000,000;1111899000,000;744301400,000;9462,347;159,201;9621,547;92;92,45;91,84
0;490;7,60;0,00;978,75;528,232;517,759;10,472;3711288000,000;2223797000,000;1488603000,000;9521,192;159,036;9680,231
1;454;7,71;5,25;984,00;484,397;476,256;8,141;3711288000,000;2223797000,000;1488603000,000;8768,452;123,982;8892,477;92;91,70;91,49
2;419;7,78;10,40;989,15;442,811;436,217;6,594;3711288000,000;2223797000,000;1488603000,000;8041,856;100,646;8142,532;92;91,41;91,12
3;385;7,80;15,55;994,31;403,493;397,724;5,769;3711288000,000;2223797000,000;1488603000,000;7334,913;88,294;7423,210;91;91,12;90,70
4;353;7,81;20,72;999,47;366,368;360,808;5,560;3711288000,000;2223797000,000;1488603000,000;6655,242;85,510;6740,736;91;90,80;90,25
0;322;7,60;0,00;1004,57;330,736;325,481;5,255;7422576000,000;4447594000,000;2977206000,000;5985,347;81,602;6066,933
1;292;7,61;5,31;1009,88;331,363;327,203;4,160;7422576000,000;4447594000,000;2977206000,000;6013,428;62,463;6075,876;90;100,19;100,00
2;264;7,68;10,53;1015,10;296,713;293,363;3,350;7422576000,000;4447594000,000;2977206000,000;5398,567;50,190;5448,755;90;89,54;89,20
3;237;7,70;15,75;1020,32;264,316;261,203;3,113;7422576000,000;4447594000,000;2977206000,000;4808,453;46,639;4855,092;89;89,08;88,58
0;212;7,60;0,00;1025,49;233,579;230,734;2,845;14845150000,000;8895189000,000;5954412000,000;4243,002;43,385;4286,398
1;186;7,06;5,73;1031,22;204,048;202,119;1,929;14845150000,000;8895189000,000;5954412000,000;3675,545;29,426;3704,976;87;87,36;87,11
2;162;7,13;11,36;1036,84;176,826;175,227;1,600;14845150000,000;8895189000,000;5954412000,000;3190,472;24,361;3214,835;87;86,66;86,22
0;139;7,60;0,00;1042,41;151,575;150,107;1,468;29690300000,000;17790380000,000;11908820000,000;2760,341;22,572;2782,916
1;122;8,66;4,66;1047,07;151,891;150,778;1,113;29690300000,000;17790380000,000;11908820000,000;2825,549;16,277;2841,821;87;100,21;100,00
2;106;8,74;9,24;1051,65;128,183;127,250;0,933;29690300000,000;17790380000,000;11908820000,000;2388,013;13,638;2401,649;86;84,39;84,03
0;92;7,60;0,00;1056,18;106,401;105,618;0,783;59380610000,000;35580760000,000;23817650000,000;1942,224;11,832;1954,058
1;75;7,17;5,65;1061,82;86,488;86,008;0,480;59380610000,000;35580760000,000;23817650000,000;1567,272;7,220;1574,492;81;81,28;81,00
0;60;7,60;0,00;1067,29;68,708;68,307;0,401;118761200000,000;71161510000,000;47635290000,000;1256,104;6,110;1262,215
1;49;8,79;4,59;1071,89;52,758;52,522;0,236;118761200000,000;71161510000,000;47635290000,000;986,567;3,673;990,239;81;76,79;76,56
0;40;7,60;0,00;1076,34;52,959;52,740;0,219;237522400000,000;142323000000,000;95270580000,000;969,854;3,171;973,025
0;26;7,60;0,00;1083,61;39,131;39,010;0,121;475044900000,000;284646000000,000;190541200000,000;717,360;1,699;719,059
0;17;7,60;0,00;1089,51;27,302;27,238;0,064;950089700000,000;569292100000,000;381082300000,000;500,882;0,886;501,768
0;12;7,60;0,00;1094,32;17,541;17,509;0,032;1900179000000,000;1138584000000,000;762164700000,000;321,978;0,443;322,420
0;8;7,60;0,00;1098,23;9,899;9,884;0,015;3800359000000,000;2277168000000,000;1524329000000,000;181,760;0,212;181,972
