Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;3;10967;5.00;2.33;54835.00;25589.67;0.29292;0.13670
1;32400;3;10800;5.00;2.34;54000.00;25311.68;0.28846;0.13521
2;32041;3;10680;5.00;2.36;53400.00;25191.93;0.28526;0.13457
3;31684;3;10561;5.00;2.38;52805.00;25097.86;0.28208;0.13407
4;31329;3;10443;5.00;2.40;52215.00;25021.71;0.27893;0.13366
5;30976;3;10325;5.00;2.42;51625.00;24956.83;0.27577;0.13332
6;30976;3;10325;5.00;2.44;51625.00;25188.23;0.27577;0.13455
7;30625;3;10208;5.00;2.46;51040.00;25143.36;0.27265;0.13431
8;30276;3;10092;5.00;2.49;50460.00;25105.90;0.26955;0.13411
9;29929;3;9976;5.00;2.51;49880.00;25072.14;0.26645;0.13393
10;29584;3;9861;5.00;2.54;49305.00;25043.54;0.26338;0.13378
11;29241;3;9747;5.00;2.57;48735.00;25019.29;0.26034;0.13365
12;28900;3;9633;5.00;2.59;48165.00;24996.09;0.25729;0.13353
13;28561;3;9520;5.00;2.62;47600.00;24975.88;0.25427;0.13342
14;28224;3;9408;5.00;2.65;47040.00;24958.15;0.25128;0.13332
15;28224;3;9408;5.00;2.68;47040.00;25240.23;0.25128;0.13483
16;27889;3;9296;5.00;2.71;46480.00;25224.11;0.24829;0.13474
17;27556;3;9185;5.00;2.74;45925.00;25209.21;0.24533;0.13466
18;27225;3;9075;5.00;2.78;45375.00;25195.20;0.24239;0.13459
19;26896;3;8965;5.00;2.81;44825.00;25178.99;0.23945;0.13450
20;26569;3;8856;5.00;2.84;44280.00;25163.07;0.23654;0.13442
21;26244;3;8748;5.00;2.87;43740.00;25147.22;0.23365;0.13433
22;25921;3;8640;5.00;2.91;43200.00;25128.32;0.23077;0.13423
23;25600;3;8533;5.00;2.94;42665.00;25109.03;0.22791;0.13413
24;25600;3;8533;5.00;2.98;42665.00;25404.77;0.22791;0.13571
25;25281;3;8427;5.00;3.01;42135.00;25384.92;0.22508;0.13560
26;24964;3;8321;5.00;3.05;41605.00;25361.15;0.22225;0.13548
