Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert. force blocks (GJ);Sum Horiz. force blocks (GJ);Vert. force blocks row (GJ);Horiz. force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
21;26686;4.00;213.74;213.74;9049.220;5747.197;3302.023;2483659.000;1155340.000;1327693.000;98209.270;51214.070;149417.800;98;101.68;101.83
0;26406;4.00;223.92;223.92;9228.751;5950.560;3278.191;2636230.000;1256331.000;1378613.000;101640.600;50922.650;152551.600
1;26117;4.00;234.10;234.10;9366.382;6142.150;3224.232;2791228.000;1362966.000;1428680.000;104929.000;50069.650;155018.300;98;101.49;98.78
2;25830;4.00;244.28;244.28;9498.485;6333.458;3165.027;2948621.000;1471687.000;1477906.000;108146.800;49226.170;157390.200;98;101.41;98.77
3;25545;4.00;254.46;254.46;9625.249;6514.992;3110.258;3108303.000;1582416.000;1526297.000;111297.900;48392.350;159668.400;98;101.33;98.76
4;25261;4.00;264.63;264.63;9746.644;6689.808;3056.836;3270139.000;1695080.000;1573863.000;114307.700;47568.130;161852.700;98;101.26;98.75
5;24978;4.00;274.81;274.81;9982.158;6949.174;3032.983;3435830.000;1814371.000;1620874.000;118670.300;47005.120;165685.300;98;102.42;100.00
6;24698;4.00;284.99;284.99;10095.290;7114.729;2980.564;3603551.000;1935438.000;1667070.000;121519.600;46196.760;167729.100;98;101.13;98.75
7;24419;4.00;295.17;295.17;10203.220;7274.298;2928.926;3773237.000;2058208.000;1712467.000;124329.700;45397.790;169682.600;98;101.07;98.74
8;24141;4.00;305.35;305.35;10305.930;7432.021;2873.907;3944787.000;2185798.000;1757076.000;126952.000;44608.000;171545.500;98;101.01;98.73
9;23865;4.00;315.53;315.53;10403.570;7579.937;2823.635;4118106.000;2317734.000;1800902.000;129502.000;43827.210;173319.800;98;100.95;98.72
10;23591;4.00;325.70;325.70;10496.150;7722.613;2773.538;4293122.000;2448291.000;1843955.000;131927.300;43055.970;175006.500;98;100.89;98.71
11;23318;4.00;335.88;335.88;10583.760;7864.646;2719.115;4469737.000;2583295.000;1886250.000;134282.700;42293.530;176606.100;98;100.83;98.71
12;23047;4.00;346.06;346.06;10666.420;7994.173;2672.248;4647853.000;2722596.000;1927790.000;136606.800;41540.460;178120.500;98;100.78;98.70
13;22777;4.00;356.24;356.24;10744.200;8120.090;2624.112;4827305.000;2860071.000;1968585.000;138771.200;40796.320;179549.400;98;100.73;98.69
14;22509;4.00;366.42;366.42;10956.740;8355.994;2600.747;5010386.000;3003522.000;2008877.000;142706.500;40288.740;183005.900;98;101.98;100.00
15;22243;4.00;376.60;376.60;11026.830;8472.014;2554.811;5194717.000;3150978.000;2048434.000;144733.800;39559.950;184305.600;98;100.64;98.68
16;21978;4.00;386.77;386.77;11092.180;8589.115;2503.067;5380153.000;3296475.000;2087266.000;146715.600;38839.770;185521.300;98;100.59;98.67
17;21715;4.00;396.95;396.95;11152.920;8695.733;2457.186;5566828.000;3445767.000;2125393.000;148543.100;38128.500;186656.300;98;100.55;98.66
18;21453;4.00;407.13;407.13;11209.040;8796.797;2412.238;5754581.000;3598713.000;2162813.000;150275.100;37426.080;187710.600;98;100.50;98.65
0;21193;4.00;417.31;417.31;11332.030;8896.465;2435.565;8428053.000;4910513.000;3528351.000;151929.200;37841.420;189794.800
1;20934;4.00;427.49;427.49;11378.410;8987.477;2390.937;8618692.000;5064837.000;3565507.000;153517.600;37146.630;190681.300;98;100.41;98.63
2;20677;4.00;437.67;437.67;11420.260;9074.699;2345.563;8810357.000;5217040.000;3601978.000;155040.800;36460.610;191489.700;98;100.37;98.62
3;20421;4.00;447.84;447.84;11457.720;9159.359;2298.359;9002864.000;5377857.000;3637769.000;156455.100;35783.160;192222.500;98;100.33;98.61
4;20167;4.00;458.02;458.02;11649.070;9365.671;2283.401;9198154.000;5538675.000;3673112.000;160005.300;35329.040;195324.100;98;101.67;100.00
5;19914;4.00;468.20;468.20;11679.410;9438.860;2240.550;9393704.000;5697251.000;3707778.000;161246.000;34666.090;195936.300;98;100.26;98.61
6;19664;4.00;478.38;478.38;11705.650;9511.337;2194.317;9589759.000;5864025.000;3741785.000;162505.400;34011.240;196474.300;98;100.22;98.60
7;19414;4.00;488.56;488.56;11727.630;9575.947;2151.688;9786716.000;6028441.000;3775145.000;163579.800;33364.710;196939.900;98;100.19;98.59
8;19167;4.00;498.74;498.74;11745.450;9634.861;2110.587;9984317.000;6190518.000;3807858.000;164608.600;32726.680;197333.000;98;100.15;98.58
9;18921;4.00;508.91;508.91;11759.180;9692.979;2066.203;10182270.000;6360255.000;3839935.000;165559.100;32097.030;197653.800;98;100.12;98.56
10;18676;4.00;519.09;519.09;11768.860;9741.521;2027.342;10380360.000;6527541.000;3871393.000;166393.900;31475.440;197905.400;98;100.08;98.55
11;18433;4.00;529.27;529.27;11774.650;9790.351;1984.301;10578320.000;6692394.000;3902243.000;167252.000;30861.760;198087.300;98;100.05;98.54
12;18192;4.00;539.45;539.45;11776.450;9830.934;1945.519;10776150.000;6864387.000;3932489.000;167932.600;30256.530;198200.600;98;100.02;98.53
13;17952;4.00;549.63;549.63;11774.330;9869.599;1904.736;10974150.000;7033841.000;3962139.000;168573.300;29659.030;198245.400;98;99.98;98.52
14;17714;4.00;559.80;559.80;11942.370;10053.600;1888.771;11175200.000;7203295.000;3991389.000;171713.300;29260.200;200968.800;98;101.43;100.00
15;17477;4.00;569.98;569.98;11934.020;10082.710;1851.308;11376340.000;7379503.000;4020058.000;172238.200;28676.250;200907.700;98;99.93;98.51
