Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;1;32902;6.00;2.33;197412.00;76771.33;1.05455;0.41010
1;32400;1;32400;6.00;2.34;194400.00;75935.04;1.03846;0.40564
2;32041;1;32041;6.00;2.36;192246.00;75578.15;1.02696;0.40373
3;31684;1;31684;6.00;2.38;190104.00;75295.95;1.01551;0.40222
4;31329;1;31329;6.00;2.40;187974.00;75065.13;1.00414;0.40099
5;30976;1;30976;6.00;2.42;185856.00;74872.90;0.99282;0.39996
6;30976;1;30976;6.00;2.44;185856.00;75567.13;0.99282;0.40367
7;30625;1;30625;6.00;2.46;183750.00;75432.53;0.98157;0.40295
8;30276;1;30276;6.00;2.49;181656.00;75317.71;0.97038;0.40234
9;29929;1;29929;6.00;2.51;179574.00;75218.94;0.95926;0.40181
10;29584;1;29584;6.00;2.54;177504.00;75133.17;0.94821;0.40135
11;29241;1;29241;6.00;2.57;175446.00;75057.88;0.93721;0.40095
12;28900;1;28900;6.00;2.59;173400.00;74990.87;0.92628;0.40059
13;28561;1;28561;6.00;2.62;171366.00;74930.27;0.91542;0.40027
14;28224;1;28224;6.00;2.65;169344.00;74874.44;0.90462;0.39997
15;28224;1;28224;6.00;2.68;169344.00;75720.70;0.90462;0.40449
16;27889;1;27889;6.00;2.71;167334.00;75675.05;0.89388;0.40425
17;27556;1;27556;6.00;2.74;165336.00;75630.37;0.88321;0.40401
18;27225;1;27225;6.00;2.78;163350.00;75585.59;0.87260;0.40377
19;26896;1;26896;6.00;2.81;161376.00;75539.77;0.86205;0.40352
20;26569;1;26569;6.00;2.84;159414.00;75492.05;0.85157;0.40327
21;26244;1;26244;6.00;2.87;157464.00;75441.66;0.84115;0.40300
22;25921;1;25921;6.00;2.91;155526.00;75387.88;0.83080;0.40271
23;25600;1;25600;6.00;2.94;153600.00;75330.03;0.82051;0.40240
24;25600;1;25600;6.00;2.98;153600.00;76217.27;0.82051;0.40714
25;25281;1;25281;6.00;3.01;151686.00;76154.75;0.81029;0.40681
26;24964;1;24964;6.00;3.05;149784.00;76086.50;0.80013;0.40645
27;24649;1;24649;6.00;3.08;147894.00;76012.07;0.79003;0.40605
