Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;2;16451;6.00;2.33;98706.00;38385.66;0.52728;0.20505
1;32400;2;16200;6.00;2.34;97200.00;37967.52;0.51923;0.20282
2;32041;2;16020;6.00;2.36;96120.00;37787.89;0.51346;0.20186
3;31684;2;15842;6.00;2.38;95052.00;37647.97;0.50776;0.20111
4;31329;2;15664;6.00;2.40;93984.00;37531.37;0.50205;0.20049
5;30976;2;15488;6.00;2.42;92928.00;37436.45;0.49641;0.19998
6;30976;2;15488;6.00;2.44;92928.00;37783.56;0.49641;0.20184
7;30625;2;15312;6.00;2.46;91872.00;37715.04;0.49077;0.20147
8;30276;2;15138;6.00;2.49;90828.00;37658.86;0.48519;0.20117
9;29929;2;14964;6.00;2.51;89784.00;37608.21;0.47962;0.20090
10;29584;2;14792;6.00;2.54;88752.00;37566.59;0.47410;0.20068
11;29241;2;14620;6.00;2.57;87720.00;37527.65;0.46859;0.20047
12;28900;2;14450;6.00;2.59;86700.00;37495.43;0.46314;0.20030
13;28561;2;14280;6.00;2.62;85680.00;37463.82;0.45769;0.20013
14;28224;2;14112;6.00;2.65;84672.00;37437.22;0.45231;0.19999
15;28224;2;14112;6.00;2.68;84672.00;37860.35;0.45231;0.20225
16;27889;2;13944;6.00;2.71;83664.00;37836.17;0.44692;0.20212
17;27556;2;13778;6.00;2.74;82668.00;37815.18;0.44160;0.20200
18;27225;2;13612;6.00;2.78;81672.00;37791.41;0.43628;0.20188
19;26896;2;13448;6.00;2.81;80688.00;37769.89;0.43103;0.20176
20;26569;2;13284;6.00;2.84;79704.00;37744.61;0.42577;0.20163
21;26244;2;13122;6.00;2.87;78732.00;37720.83;0.42058;0.20150
22;25921;2;12960;6.00;2.91;77760.00;37692.48;0.41538;0.20135
23;25600;2;12800;6.00;2.94;76800.00;37665.02;0.41026;0.20120
24;25600;2;12800;6.00;2.98;76800.00;38108.64;0.41026;0.20357
25;25281;2;12640;6.00;3.01;75840.00;38075.87;0.40513;0.20340
26;24964;2;12482;6.00;3.05;74892.00;38043.25;0.40006;0.20322
27;24649;2;12324;6.00;3.08;73944.00;38004.49;0.39500;0.20302
28;24336;2;12168;6.00;3.12;73008.00;37965.51;0.39000;0.20281
29;24025;2;12012;6.00;3.16;72072.00;37919.89;0.38500;0.20256
30;23716;2;11858;6.00;3.19;71148.00;37873.73;0.38006;0.20232
31;23409;2;11704;6.00;3.23;70224.00;37820.50;0.37513;0.20203
32;23409;2;11704;6.00;3.27;70224.00;38263.41;0.37513;0.20440
33;23104;2;11552;6.00;3.31;69312.00;38207.75;0.37026;0.20410
34;22801;2;11400;6.00;3.35;68400.00;38144.46;0.36538;0.20376
35;22500;2;11250;6.00;3.38;67500.00;38080.07;0.36058;0.20342
36;22201;2;11100;6.00;3.42;66600.00;38007.73;0.35577;0.20303
37;21904;2;10952;6.00;3.46;65712.00;37934.14;0.35103;0.20264
38;21609;2;10804;6.00;3.50;64824.00;37852.32;0.34628;0.20220
39;21316;2;10658;6.00;3.54;63948.00;37769.15;0.34160;0.20176
40;21025;2;10512;6.00;3.58;63072.00;37677.52;0.33692;0.20127
41;21025;2;10512;6.00;3.63;63072.00;38106.47;0.33692;0.20356
42;20736;2;10368;6.00;3.67;62208.00;38010.64;0.33231;0.20305
43;20449;2;10224;6.00;3.71;61344.00;37906.00;0.32769;0.20249
44;20164;2;10082;6.00;3.75;60492.00;37799.85;0.32314;0.20192
45;19881;2;9940;6.00;3.79;59640.00;37684.69;0.31859;0.20131
46;19600;2;9800;6.00;3.83;58800.00;37568.03;0.31410;0.20068
47;19321;2;9660;6.00;3.88;57960.00;37442.21;0.30962;0.20001
48;19044;2;9522;6.00;3.92;57132.00;37314.91;0.30519;0.19933
49;19044;2;9522;6.00;3.96;57132.00;37725.06;0.30519;0.20152
50;18769;2;9384;6.00;4.01;56304.00;37585.01;0.30077;0.20077
51;18496;2;9248;6.00;4.05;55488.00;37443.50;0.29641;0.20002
52;18225;2;9112;6.00;4.09;54672.00;37292.47;0.29205;0.19921
53;17956;2;8978;6.00;4.14;53868.00;37140.07;0.28776;0.19840
54;17689;2;8844;6.00;4.18;53064.00;36978.07;0.28346;0.19753
55;17424;2;8712;6.00;4.23;52272.00;36814.77;0.27923;0.19666
56;17161;2;8580;6.00;4.27;51480.00;36641.80;0.27500;0.19574
57;17161;2;8580;6.00;4.32;51480.00;37028.70;0.27500;0.19780
58;16900;2;8450;6.00;4.36;50700.00;36850.70;0.27083;0.19685
59;16641;2;8320;6.00;4.41;49920.00;36662.87;0.26667;0.19585
60;16384;2;8192;6.00;4.45;49152.00;36474.00;0.26256;0.19484
61;16129;2;8064;6.00;4.50;48384.00;36275.25;0.25846;0.19378
62;15876;2;7938;6.00;4.54;47628.00;36075.62;0.25442;0.19271
63;15625;2;7812;6.00;4.59;46872.00;35866.08;0.25038;0.19159
64;15376;2;7688;6.00;4.64;46128.00;35655.81;0.24641;0.19047
65;15376;2;7688;6.00;4.68;46128.00;36016.53;0.24641;0.19240
66;15129;2;7564;6.00;4.73;45384.00;35792.16;0.24244;0.19120
67;14884;2;7442;6.00;4.78;44652.00;35567.26;0.23853;0.19000
68;14641;2;7320;6.00;4.83;43920.00;35332.36;0.23462;0.18874
69;14400;2;7200;6.00;4.87;43200.00;35097.12;0.23077;0.18748
70;14161;2;7080;6.00;4.92;42480.00;34851.89;0.22692;0.18617
71;13924;2;6962;6.00;4.97;41772.00;34606.51;0.22314;0.18486
72;13689;2;6844;6.00;5.02;41064.00;34351.16;0.21936;0.18350
73;13689;2;6844;6.00;5.07;41064.00;34683.74;0.21936;0.18528
74;13456;2;6728;6.00;5.12;40368.00;34424.18;0.21564;0.18389
75;13225;2;6612;6.00;5.17;39672.00;34154.60;0.21192;0.18245
76;12996;2;6498;6.00;5.21;38988.00;33885.36;0.20827;0.18101
77;12769;2;6384;6.00;5.26;38304.00;33606.15;0.20462;0.17952
78;12544;2;6272;6.00;5.31;37632.00;33327.51;0.20103;0.17803
79;12321;2;6160;6.00;5.36;36960.00;33038.95;0.19744;0.17649
80;12321;2;6160;6.00;5.41;36960.00;33346.69;0.19744;0.17813
81;12100;2;6050;6.00;5.46;36300.00;33054.59;0.19391;0.17657
82;11881;2;5940;6.00;5.51;35640.00;32752.56;0.19038;0.17496
83;11664;2;5832;6.00;5.56;34992.00;32451.67;0.18692;0.17335
84;11449;2;5724;6.00;5.62;34344.00;32140.91;0.18346;0.17169
85;11236;2;5618;6.00;5.67;33708.00;31831.55;0.18006;0.17004
86;11025;2;5512;6.00;5.72;33072.00;31512.40;0.17667;0.16834
87;10816;2;5408;6.00;5.77;32448.00;31194.92;0.17333;0.16664
88;10816;2;5408;6.00;5.82;32448.00;31472.97;0.17333;0.16812
89;10609;2;5304;6.00;5.87;31824.00;31141.36;0.17000;0.16635
90;10404;2;5202;6.00;5.92;31212.00;30811.77;0.16673;0.16459
91;10201;2;5100;6.00;5.98;30600.00;30472.50;0.16346;0.16278
92;10000;2;5000;6.00;6.03;30000.00;30135.55;0.16026;0.16098
93;9801;2;4900;6.00;6.08;29400.00;29789.01;0.15705;0.15913
94;9604;2;4802;6.00;6.13;28812.00;29445.08;0.15391;0.15729
95;9409;2;4704;6.00;6.18;28224.00;29091.67;0.15077;0.15540
96;9409;2;4704;6.00;6.24;28224.00;29339.96;0.15077;0.15673
97;9216;2;4608;6.00;6.29;27648.00;28985.17;0.14769;0.15484
98;9025;2;4512;6.00;6.34;27072.00;28620.95;0.14462;0.15289
99;8836;2;4418;6.00;6.40;26508.00;28260.05;0.14160;0.15096
100;8649;2;4324;6.00;6.45;25944.00;27889.83;0.13859;0.14898
101;8464;2;4232;6.00;6.50;25392.00;27523.25;0.13564;0.14703
102;8281;2;4140;6.00;6.56;24840.00;27147.47;0.13269;0.14502
103;8100;2;4050;6.00;6.61;24300.00;26775.66;0.12981;0.14303
104;7921;2;3960;6.00;6.67;23760.00;26394.77;0.12692;0.14100
105;7744;2;3872;6.00;6.72;23232.00;26018.19;0.12410;0.13899
106;7744;2;3872;6.00;6.77;23232.00;26228.76;0.12410;0.14011
107;7569;2;3784;6.00;6.83;22704.00;25839.03;0.12128;0.13803
108;7396;2;3698;6.00;6.88;22188.00;25454.02;0.11853;0.13597
109;7225;2;3612;6.00;6.94;21672.00;25060.16;0.11577;0.13387
110;7056;2;3528;6.00;6.99;21168.00;24671.38;0.11308;0.13179
111;6889;2;3444;6.00;7.05;20664.00;24273.88;0.11038;0.12967
112;6724;2;3362;6.00;7.10;20172.00;23881.83;0.10776;0.12757
113;6561;2;3280;6.00;7.16;19680.00;23481.20;0.10513;0.12543
114;6561;2;3280;6.00;7.21;19680.00;23663.53;0.10513;0.12641
