Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;3;10967;4.56;2.33;49960.78;25589.67;0.26688;0.13670
1;32400;3;10800;4.56;2.34;49200.00;25311.68;0.26282;0.13521
2;32041;3;10680;4.56;2.36;48653.33;25191.93;0.25990;0.13457
3;31684;3;10561;4.56;2.38;48111.22;25097.86;0.25700;0.13407
4;31329;3;10443;4.56;2.40;47573.66;25021.71;0.25413;0.13366
5;30976;3;10325;4.56;2.42;47036.11;24956.83;0.25126;0.13332
6;30976;3;10325;4.56;2.44;47036.11;25188.23;0.25126;0.13455
7;30625;3;10208;4.56;2.46;46503.11;25143.36;0.24841;0.13431
8;30276;3;10092;4.56;2.49;45974.66;25105.90;0.24559;0.13411
9;29929;3;9976;4.56;2.51;45446.22;25072.14;0.24277;0.13393
10;29584;3;9861;4.56;2.54;44922.33;25043.54;0.23997;0.13378
11;29241;3;9747;4.56;2.57;44403.00;25019.29;0.23720;0.13365
12;28900;3;9633;4.56;2.59;43883.66;24996.09;0.23442;0.13353
13;28561;3;9520;4.56;2.62;43368.89;24975.88;0.23167;0.13342
14;28224;3;9408;4.56;2.65;42858.66;24958.15;0.22895;0.13332
15;28224;3;9408;4.56;2.68;42858.66;25240.23;0.22895;0.13483
16;27889;3;9296;4.56;2.71;42348.44;25224.11;0.22622;0.13474
17;27556;3;9185;4.56;2.74;41842.78;25209.21;0.22352;0.13466
18;27225;3;9075;4.56;2.78;41341.66;25195.20;0.22084;0.13459
19;26896;3;8965;4.56;2.81;40840.55;25178.99;0.21817;0.13450
20;26569;3;8856;4.56;2.84;40344.00;25163.07;0.21551;0.13442
21;26244;3;8748;4.56;2.87;39852.00;25147.22;0.21288;0.13433
22;25921;3;8640;4.56;2.91;39360.00;25128.32;0.21026;0.13423
23;25600;3;8533;4.56;2.94;38872.55;25109.03;0.20765;0.13413
24;25600;3;8533;4.56;2.98;38872.55;25404.77;0.20765;0.13571
25;25281;3;8427;4.56;3.01;38389.66;25384.92;0.20507;0.13560
26;24964;3;8321;4.56;3.05;37906.78;25361.15;0.20249;0.13548
27;24649;3;8216;4.56;3.08;37428.44;25336.33;0.19994;0.13534
28;24336;3;8112;4.56;3.12;36954.66;25310.34;0.19741;0.13520
29;24025;3;8008;4.56;3.16;36480.89;25279.92;0.19488;0.13504
30;23716;3;7905;4.56;3.19;36011.66;25248.09;0.19237;0.13487
31;23409;3;7803;4.56;3.23;35547.00;25214.74;0.18989;0.13469
32;23409;3;7803;4.56;3.27;35547.00;25510.03;0.18989;0.13627
33;23104;3;7701;4.56;3.31;35082.33;25470.73;0.18741;0.13606
34;22801;3;7600;4.56;3.35;34622.22;25429.64;0.18495;0.13584
35;22500;3;7500;4.56;3.38;34166.66;25386.71;0.18251;0.13561
