Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;2;16451;8.00;2.33;131608.00;38385.66;0.70303;0.20505
1;32400;2;16200;8.00;2.34;129600.00;37967.52;0.69231;0.20282
2;32041;2;16020;8.00;2.36;128160.00;37787.89;0.68462;0.20186
3;31684;2;15842;8.00;2.38;126736.00;37647.97;0.67701;0.20111
4;31329;2;15664;8.00;2.40;125312.00;37531.37;0.66940;0.20049
5;30976;2;15488;8.00;2.42;123904.00;37436.45;0.66188;0.19998
6;30976;2;15488;8.00;2.44;123904.00;37783.56;0.66188;0.20184
7;30625;2;15312;8.00;2.46;122496.00;37715.04;0.65436;0.20147
8;30276;2;15138;8.00;2.49;121104.00;37658.86;0.64692;0.20117
9;29929;2;14964;8.00;2.51;119712.00;37608.21;0.63949;0.20090
10;29584;2;14792;8.00;2.54;118336.00;37566.59;0.63214;0.20068
11;29241;2;14620;8.00;2.57;116960.00;37527.65;0.62479;0.20047
12;28900;2;14450;8.00;2.59;115600.00;37495.43;0.61752;0.20030
13;28561;2;14280;8.00;2.62;114240.00;37463.82;0.61026;0.20013
14;28224;2;14112;8.00;2.65;112896.00;37437.22;0.60308;0.19999
15;28224;2;14112;8.00;2.68;112896.00;37860.35;0.60308;0.20225
16;27889;2;13944;8.00;2.71;111552.00;37836.17;0.59590;0.20212
17;27556;2;13778;8.00;2.74;110224.00;37815.18;0.58880;0.20200
18;27225;2;13612;8.00;2.78;108896.00;37791.41;0.58171;0.20188
19;26896;2;13448;8.00;2.81;107584.00;37769.89;0.57470;0.20176
20;26569;2;13284;8.00;2.84;106272.00;37744.61;0.56769;0.20163
21;26244;2;13122;8.00;2.87;104976.00;37720.83;0.56077;0.20150
22;25921;2;12960;8.00;2.91;103680.00;37692.48;0.55385;0.20135
23;25600;2;12800;8.00;2.94;102400.00;37665.02;0.54701;0.20120
24;25600;2;12800;8.00;2.98;102400.00;38108.64;0.54701;0.20357
25;25281;2;12640;8.00;3.01;101120.00;38075.87;0.54017;0.20340
26;24964;2;12482;8.00;3.05;99856.00;38043.25;0.53342;0.20322
27;24649;2;12324;8.00;3.08;98592.00;38004.49;0.52667;0.20302
28;24336;2;12168;8.00;3.12;97344.00;37965.51;0.52000;0.20281
29;24025;2;12012;8.00;3.16;96096.00;37919.89;0.51333;0.20256
30;23716;2;11858;8.00;3.19;94864.00;37873.73;0.50675;0.20232
31;23409;2;11704;8.00;3.23;93632.00;37820.50;0.50017;0.20203
32;23409;2;11704;8.00;3.27;93632.00;38263.41;0.50017;0.20440
33;23104;2;11552;8.00;3.31;92416.00;38207.75;0.49368;0.20410
34;22801;2;11400;8.00;3.35;91200.00;38144.46;0.48718;0.20376
35;22500;2;11250;8.00;3.38;90000.00;38080.07;0.48077;0.20342
36;22201;2;11100;8.00;3.42;88800.00;38007.73;0.47436;0.20303
37;21904;2;10952;8.00;3.46;87616.00;37934.14;0.46803;0.20264
38;21609;2;10804;8.00;3.50;86432.00;37852.32;0.46171;0.20220
39;21316;2;10658;8.00;3.54;85264.00;37769.15;0.45547;0.20176
40;21025;2;10512;8.00;3.58;84096.00;37677.52;0.44923;0.20127
41;21025;2;10512;8.00;3.63;84096.00;38106.47;0.44923;0.20356
42;20736;2;10368;8.00;3.67;82944.00;38010.64;0.44308;0.20305
43;20449;2;10224;8.00;3.71;81792.00;37906.00;0.43692;0.20249
44;20164;2;10082;8.00;3.75;80656.00;37799.85;0.43085;0.20192
45;19881;2;9940;8.00;3.79;79520.00;37684.69;0.42479;0.20131
46;19600;2;9800;8.00;3.83;78400.00;37568.03;0.41880;0.20068
47;19321;2;9660;8.00;3.88;77280.00;37442.21;0.41282;0.20001
48;19044;2;9522;8.00;3.92;76176.00;37314.91;0.40692;0.19933
49;19044;2;9522;8.00;3.96;76176.00;37725.06;0.40692;0.20152
50;18769;2;9384;8.00;4.01;75072.00;37585.01;0.40103;0.20077
51;18496;2;9248;8.00;4.05;73984.00;37443.50;0.39521;0.20002
52;18225;2;9112;8.00;4.09;72896.00;37292.47;0.38940;0.19921
53;17956;2;8978;8.00;4.14;71824.00;37140.07;0.38368;0.19840
54;17689;2;8844;8.00;4.18;70752.00;36978.07;0.37795;0.19753
55;17424;2;8712;8.00;4.23;69696.00;36814.77;0.37231;0.19666
56;17161;2;8580;8.00;4.27;68640.00;36641.80;0.36667;0.19574
57;17161;2;8580;8.00;4.32;68640.00;37028.70;0.36667;0.19780
58;16900;2;8450;8.00;4.36;67600.00;36850.70;0.36111;0.19685
59;16641;2;8320;8.00;4.41;66560.00;36662.87;0.35556;0.19585
60;16384;2;8192;8.00;4.45;65536.00;36474.00;0.35009;0.19484
61;16129;2;8064;8.00;4.50;64512.00;36275.25;0.34462;0.19378
62;15876;2;7938;8.00;4.54;63504.00;36075.62;0.33923;0.19271
63;15625;2;7812;8.00;4.59;62496.00;35866.08;0.33385;0.19159
64;15376;2;7688;8.00;4.64;61504.00;35655.81;0.32855;0.19047
65;15376;2;7688;8.00;4.68;61504.00;36016.53;0.32855;0.19240
66;15129;2;7564;8.00;4.73;60512.00;35792.16;0.32325;0.19120
67;14884;2;7442;8.00;4.78;59536.00;35567.26;0.31803;0.19000
68;14641;2;7320;8.00;4.83;58560.00;35332.36;0.31282;0.18874
69;14400;2;7200;8.00;4.87;57600.00;35097.12;0.30769;0.18748
70;14161;2;7080;8.00;4.92;56640.00;34851.89;0.30256;0.18617
71;13924;2;6962;8.00;4.97;55696.00;34606.51;0.29752;0.18486
72;13689;2;6844;8.00;5.02;54752.00;34351.16;0.29248;0.18350
73;13689;2;6844;8.00;5.07;54752.00;34683.74;0.29248;0.18528
74;13456;2;6728;8.00;5.12;53824.00;34424.18;0.28752;0.18389
75;13225;2;6612;8.00;5.17;52896.00;34154.60;0.28256;0.18245
76;12996;2;6498;8.00;5.21;51984.00;33885.36;0.27769;0.18101
77;12769;2;6384;8.00;5.26;51072.00;33606.15;0.27282;0.17952
78;12544;2;6272;8.00;5.31;50176.00;33327.51;0.26803;0.17803
79;12321;2;6160;8.00;5.36;49280.00;33038.95;0.26325;0.17649
80;12321;2;6160;8.00;5.41;49280.00;33346.69;0.26325;0.17813
81;12100;2;6050;8.00;5.46;48400.00;33054.59;0.25855;0.17657
82;11881;2;5940;8.00;5.51;47520.00;32752.56;0.25385;0.17496
83;11664;2;5832;8.00;5.56;46656.00;32451.67;0.24923;0.17335
84;11449;2;5724;8.00;5.62;45792.00;32140.91;0.24462;0.17169
85;11236;2;5618;8.00;5.67;44944.00;31831.55;0.24009;0.17004
86;11025;2;5512;8.00;5.72;44096.00;31512.40;0.23556;0.16834
87;10816;2;5408;8.00;5.77;43264.00;31194.92;0.23111;0.16664
88;10816;2;5408;8.00;5.82;43264.00;31472.97;0.23111;0.16812
89;10609;2;5304;8.00;5.87;42432.00;31141.36;0.22667;0.16635
90;10404;2;5202;8.00;5.92;41616.00;30811.77;0.22231;0.16459
91;10201;2;5100;8.00;5.98;40800.00;30472.50;0.21795;0.16278
92;10000;2;5000;8.00;6.03;40000.00;30135.55;0.21368;0.16098
93;9801;2;4900;8.00;6.08;39200.00;29789.01;0.20940;0.15913
94;9604;2;4802;8.00;6.13;38416.00;29445.08;0.20521;0.15729
95;9409;2;4704;8.00;6.18;37632.00;29091.67;0.20103;0.15540
96;9409;2;4704;8.00;6.24;37632.00;29339.96;0.20103;0.15673
97;9216;2;4608;8.00;6.29;36864.00;28985.17;0.19692;0.15484
98;9025;2;4512;8.00;6.34;36096.00;28620.95;0.19282;0.15289
99;8836;2;4418;8.00;6.40;35344.00;28260.05;0.18880;0.15096
100;8649;2;4324;8.00;6.45;34592.00;27889.83;0.18479;0.14898
101;8464;2;4232;8.00;6.50;33856.00;27523.25;0.18085;0.14703
102;8281;2;4140;8.00;6.56;33120.00;27147.47;0.17692;0.14502
103;8100;2;4050;8.00;6.61;32400.00;26775.66;0.17308;0.14303
104;7921;2;3960;8.00;6.67;31680.00;26394.77;0.16923;0.14100
105;7744;2;3872;8.00;6.72;30976.00;26018.19;0.16547;0.13899
106;7744;2;3872;8.00;6.77;30976.00;26228.76;0.16547;0.14011
107;7569;2;3784;8.00;6.83;30272.00;25839.03;0.16171;0.13803
108;7396;2;3698;8.00;6.88;29584.00;25454.02;0.15803;0.13597
109;7225;2;3612;8.00;6.94;28896.00;25060.16;0.15436;0.13387
110;7056;2;3528;8.00;6.99;28224.00;24671.38;0.15077;0.13179
111;6889;2;3444;8.00;7.05;27552.00;24273.88;0.14718;0.12967
112;6724;2;3362;8.00;7.10;26896.00;23881.83;0.14368;0.12757
113;6561;2;3280;8.00;7.16;26240.00;23481.20;0.14017;0.12543
114;6561;2;3280;8.00;7.21;26240.00;23663.53;0.14017;0.12641
115;6400;2;3200;8.00;7.27;25600.00;23264.72;0.13675;0.12428
116;6241;2;3120;8.00;7.33;24960.00;22857.45;0.13333;0.12210
