Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;3;10967;7.00;2.33;76769.00;25589.67;0.41009;0.13670
1;32400;3;10800;7.00;2.34;75600.00;25311.68;0.40385;0.13521
2;32041;3;10680;7.00;2.36;74760.00;25191.93;0.39936;0.13457
3;31684;3;10561;7.00;2.38;73927.00;25097.86;0.39491;0.13407
4;31329;3;10443;7.00;2.40;73101.00;25021.71;0.39050;0.13366
5;30976;3;10325;7.00;2.42;72275.00;24956.83;0.38608;0.13332
6;30976;3;10325;7.00;2.44;72275.00;25188.23;0.38608;0.13455
7;30625;3;10208;7.00;2.46;71456.00;25143.36;0.38171;0.13431
8;30276;3;10092;7.00;2.49;70644.00;25105.90;0.37737;0.13411
9;29929;3;9976;7.00;2.51;69832.00;25072.14;0.37303;0.13393
10;29584;3;9861;7.00;2.54;69027.00;25043.54;0.36873;0.13378
11;29241;3;9747;7.00;2.57;68229.00;25019.29;0.36447;0.13365
12;28900;3;9633;7.00;2.59;67431.00;24996.09;0.36021;0.13353
13;28561;3;9520;7.00;2.62;66640.00;24975.88;0.35598;0.13342
14;28224;3;9408;7.00;2.65;65856.00;24958.15;0.35179;0.13332
15;28224;3;9408;7.00;2.68;65856.00;25240.23;0.35179;0.13483
16;27889;3;9296;7.00;2.71;65072.00;25224.11;0.34761;0.13474
17;27556;3;9185;7.00;2.74;64295.00;25209.21;0.34346;0.13466
18;27225;3;9075;7.00;2.78;63525.00;25195.20;0.33934;0.13459
19;26896;3;8965;7.00;2.81;62755.00;25178.99;0.33523;0.13450
20;26569;3;8856;7.00;2.84;61992.00;25163.07;0.33115;0.13442
21;26244;3;8748;7.00;2.87;61236.00;25147.22;0.32712;0.13433
22;25921;3;8640;7.00;2.91;60480.00;25128.32;0.32308;0.13423
23;25600;3;8533;7.00;2.94;59731.00;25109.03;0.31908;0.13413
24;25600;3;8533;7.00;2.98;59731.00;25404.77;0.31908;0.13571
25;25281;3;8427;7.00;3.01;58989.00;25384.92;0.31511;0.13560
26;24964;3;8321;7.00;3.05;58247.00;25361.15;0.31115;0.13548
27;24649;3;8216;7.00;3.08;57512.00;25336.33;0.30722;0.13534
28;24336;3;8112;7.00;3.12;56784.00;25310.34;0.30333;0.13520
