Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;12;2741;8.00;2.33;21928.00;6395.67;0.11714;0.03416
1;32400;12;2700;8.00;2.34;21600.00;6327.92;0.11538;0.03380
2;32041;12;2670;8.00;2.36;21360.00;6297.98;0.11410;0.03364
3;31684;12;2640;8.00;2.38;21120.00;6273.87;0.11282;0.03351
4;31329;12;2610;8.00;2.40;20880.00;6253.63;0.11154;0.03341
5;30976;12;2581;8.00;2.42;20648.00;6238.60;0.11030;0.03333
6;30976;12;2581;8.00;2.44;20648.00;6296.45;0.11030;0.03363
7;30625;12;2552;8.00;2.46;20416.00;6285.84;0.10906;0.03358
8;30276;12;2523;8.00;2.49;20184.00;6276.48;0.10782;0.03353
9;29929;12;2494;8.00;2.51;19952.00;6268.04;0.10658;0.03348
10;29584;6;4930;8.00;2.54;39440.00;12520.50;0.21068;0.06688
11;29241;6;4873;8.00;2.57;38984.00;12508.36;0.20825;0.06682
12;28900;6;4816;8.00;2.59;38528.00;12496.75;0.20581;0.06676
13;28561;6;4760;8.00;2.62;38080.00;12487.94;0.20342;0.06671
14;28224;6;4704;8.00;2.65;37632.00;12479.07;0.20103;0.06666
15;28224;6;4704;8.00;2.68;37632.00;12620.12;0.20103;0.06742
16;27889;6;4648;8.00;2.71;37184.00;12612.06;0.19863;0.06737
17;27556;6;4592;8.00;2.74;36736.00;12603.23;0.19624;0.06732
18;27225;6;4537;8.00;2.78;36296.00;12596.21;0.19389;0.06729
19;26896;6;4482;8.00;2.81;35856.00;12588.09;0.19154;0.06724
20;26569;6;4428;8.00;2.84;35424.00;12581.54;0.18923;0.06721
21;26244;3;8748;8.00;2.87;69984.00;25147.22;0.37385;0.13433
22;25921;3;8640;8.00;2.91;69120.00;25128.32;0.36923;0.13423
23;25600;3;8533;8.00;2.94;68264.00;25109.03;0.36466;0.13413
24;25600;3;8533;8.00;2.98;68264.00;25404.77;0.36466;0.13571
25;25281;3;8427;8.00;3.01;67416.00;25384.92;0.36013;0.13560
26;24964;3;8321;8.00;3.05;66568.00;25361.15;0.35560;0.13548
27;24649;3;8216;8.00;3.08;65728.00;25336.33;0.35111;0.13534
28;24336;3;8112;8.00;3.12;64896.00;25310.34;0.34667;0.13520
29;24025;3;8008;8.00;3.16;64064.00;25279.92;0.34222;0.13504
30;23716;3;7905;8.00;3.19;63240.00;25248.09;0.33782;0.13487
31;23409;3;7803;8.00;3.23;62424.00;25214.74;0.33346;0.13469
32;23409;3;7803;8.00;3.27;62424.00;25510.03;0.33346;0.13627
33;23104;3;7701;8.00;3.31;61608.00;25470.73;0.32910;0.13606
34;22801;3;7600;8.00;3.35;60800.00;25429.64;0.32479;0.13584
35;22500;3;7500;8.00;3.38;60000.00;25386.71;0.32051;0.13561
36;22201;3;7400;8.00;3.42;59200.00;25338.49;0.31624;0.13536
37;21904;3;7301;8.00;3.46;58408.00;25288.27;0.31201;0.13509
38;21609;3;7203;8.00;3.50;57624.00;25236.05;0.30782;0.13481
39;21316;3;7105;8.00;3.54;56840.00;25178.25;0.30363;0.13450
40;21025;3;7008;8.00;3.58;56064.00;25118.34;0.29949;0.13418
41;21025;3;7008;8.00;3.63;56064.00;25404.31;0.29949;0.13571
42;20736;3;6912;8.00;3.67;55296.00;25340.43;0.29538;0.13537
43;20449;3;6816;8.00;3.71;54528.00;25270.66;0.29128;0.13499
44;20164;3;6721;8.00;3.75;53768.00;25198.65;0.28722;0.13461
45;19881;3;6627;8.00;3.79;53016.00;25124.39;0.28321;0.13421
46;19600;3;6533;8.00;3.83;52264.00;25044.08;0.27919;0.13378
47;19321;3;6440;8.00;3.88;51520.00;24961.47;0.27521;0.13334
48;19044;3;6348;8.00;3.92;50784.00;24876.61;0.27128;0.13289
49;19044;3;6348;8.00;3.96;50784.00;25150.04;0.27128;0.13435
50;18769;3;6256;8.00;4.01;50048.00;25056.67;0.26735;0.13385
51;18496;3;6165;8.00;4.05;49320.00;24960.98;0.26346;0.13334
52;18225;3;6075;8.00;4.09;48600.00;24863.01;0.25962;0.13282
53;17956;3;5985;8.00;4.14;47880.00;24758.67;0.25577;0.13226
54;17689;3;5896;8.00;4.18;47168.00;24652.05;0.25197;0.13169
55;17424;3;5808;8.00;4.23;46464.00;24543.18;0.24821;0.13111
56;17161;3;5720;8.00;4.27;45760.00;24427.87;0.24444;0.13049
57;17161;3;5720;8.00;4.32;45760.00;24685.80;0.24444;0.13187
58;16900;3;5633;8.00;4.36;45064.00;24565.68;0.24073;0.13123
59;16641;3;5547;8.00;4.41;44376.00;24443.38;0.23705;0.13057
60;16384;3;5461;8.00;4.45;43688.00;24314.51;0.23338;0.12989
61;16129;3;5376;8.00;4.50;43008.00;24183.50;0.22974;0.12919
62;15876;3;5292;8.00;4.54;42336.00;24050.41;0.22615;0.12847
63;15625;3;5208;8.00;4.59;41664.00;23910.72;0.22256;0.12773
64;15376;3;5125;8.00;4.64;41000.00;23768.99;0.21902;0.12697
65;15376;3;5125;8.00;4.68;41000.00;24009.46;0.21902;0.12826
66;15129;3;5043;8.00;4.73;40344.00;23863.02;0.21551;0.12747
67;14884;3;4961;8.00;4.78;39688.00;23709.91;0.21201;0.12666
68;14641;3;4880;8.00;4.83;39040.00;23554.91;0.20855;0.12583
69;14400;3;4800;8.00;4.87;38400.00;23398.08;0.20513;0.12499
70;14161;3;4720;8.00;4.92;37760.00;23234.59;0.20171;0.12412
71;13924;3;4641;8.00;4.97;37128.00;23069.35;0.19833;0.12323
72;13689;3;4563;8.00;5.02;36504.00;22902.45;0.19500;0.12234
73;13689;3;4563;8.00;5.07;36504.00;23124.18;0.19500;0.12353
74;13456;3;4485;8.00;5.12;35880.00;22947.74;0.19167;0.12258
75;13225;3;4408;8.00;5.17;35264.00;22769.73;0.18838;0.12163
76;12996;3;4332;8.00;5.21;34656.00;22590.24;0.18513;0.12067
77;12769;3;4256;8.00;5.26;34048.00;22404.10;0.18188;0.11968
78;12544;3;4181;8.00;5.31;33448.00;22216.57;0.17868;0.11868
79;12321;3;4107;8.00;5.36;32856.00;22027.75;0.17551;0.11767
80;12321;3;4107;8.00;5.41;32856.00;22232.93;0.17551;0.11877
81;12100;3;4033;8.00;5.46;32264.00;22034.57;0.17235;0.11771
82;11881;3;3960;8.00;5.51;31680.00;21835.04;0.16923;0.11664
83;11664;3;3888;8.00;5.56;31104.00;21634.45;0.16615;0.11557
84;11449;3;3816;8.00;5.62;30528.00;21427.27;0.16308;0.11446
85;11236;3;3745;8.00;5.67;29960.00;21219.14;0.16004;0.11335
86;11025;3;3675;8.00;5.72;29400.00;21010.17;0.15705;0.11223
87;10816;3;3605;8.00;5.77;28840.00;20794.69;0.15406;0.11108
88;10816;3;3605;8.00;5.82;28840.00;20980.04;0.15406;0.11207
89;10609;3;3536;8.00;5.87;28288.00;20760.91;0.15111;0.11090
90;10404;3;3468;8.00;5.92;27744.00;20541.18;0.14821;0.10973
91;10201;3;3400;8.00;5.98;27200.00;20315.00;0.14530;0.10852
92;10000;3;3333;8.00;6.03;26664.00;20088.36;0.14244;0.10731
93;9801;3;3267;8.00;6.08;26136.00;19861.36;0.13962;0.10610
94;9604;3;3201;8.00;6.13;25608.00;19628.01;0.13679;0.10485
95;9409;3;3136;8.00;6.18;25088.00;19394.45;0.13402;0.10360
96;9409;3;3136;8.00;6.24;25088.00;19559.97;0.13402;0.10449
97;9216;3;3072;8.00;6.29;24576.00;19323.45;0.13128;0.10322
98;9025;3;3008;8.00;6.34;24064.00;19080.63;0.12855;0.10193
99;8836;3;2945;8.00;6.40;23560.00;18837.90;0.12585;0.10063
100;8649;3;2883;8.00;6.45;23064.00;18595.37;0.12321;0.09933
101;8464;3;2821;8.00;6.50;22568.00;18346.67;0.12056;0.09801
102;8281;3;2760;8.00;6.56;22080.00;18098.31;0.11795;0.09668
103;8100;3;2700;8.00;6.61;21600.00;17850.44;0.11538;0.09535
104;7921;3;2640;8.00;6.67;21120.00;17596.51;0.11282;0.09400
105;7744;3;2581;8.00;6.72;20648.00;17343.22;0.11030;0.09265
106;7744;3;2581;8.00;6.77;20648.00;17483.58;0.11030;0.09340
107;7569;3;2523;8.00;6.83;20184.00;17228.29;0.10782;0.09203
108;7396;3;2465;8.00;6.88;19720.00;16967.05;0.10534;0.09064
109;7225;3;2408;8.00;6.94;19264.00;16706.77;0.10291;0.08925
110;7056;3;2352;8.00;6.99;18816.00;16447.59;0.10051;0.08786
111;6889;3;2296;8.00;7.05;18368.00;16182.59;0.09812;0.08645
112;6724;3;2241;8.00;7.10;17928.00;15918.85;0.09577;0.08504
113;6561;3;2187;8.00;7.16;17496.00;15656.52;0.09346;0.08364
114;6561;3;2187;8.00;7.21;17496.00;15778.09;0.09346;0.08428
115;6400;3;2133;8.00;7.27;17064.00;15507.39;0.09115;0.08284
116;6241;3;2080;8.00;7.33;16640.00;15238.30;0.08889;0.08140
117;6084;3;2028;8.00;7.38;16224.00;14970.96;0.08667;0.07997
118;5929;3;1976;8.00;7.44;15808.00;14698.08;0.08444;0.07852
119;5776;3;1925;8.00;7.49;15400.00;14427.13;0.08226;0.07707
120;5625;3;1875;8.00;7.55;15000.00;14158.25;0.08013;0.07563
121;5476;3;1825;8.00;7.61;14600.00;13883.99;0.07799;0.07417
122;5476;3;1825;8.00;7.66;14600.00;13987.53;0.07799;0.07472
123;5329;3;1776;8.00;7.72;14208.00;13712.99;0.07590;0.07325
124;5184;3;1728;8.00;7.78;13824.00;13440.89;0.07385;0.07180
125;5041;3;1680;8.00;7.84;13440.00;13163.55;0.07179;0.07032
126;4900;3;1633;8.00;7.89;13064.00;12888.84;0.06979;0.06885
127;4761;3;1587;8.00;7.95;12696.00;12616.91;0.06782;0.06740
128;4624;3;1541;8.00;8.01;12328.00;12339.91;0.06585;0.06592
129;4624;3;1541;8.00;8.07;12328.00;12428.82;0.06585;0.06639
130;4489;3;1496;8.00;8.12;11968.00;12152.39;0.06393;0.06492
131;4356;3;1452;8.00;8.18;11616.00;11879.13;0.06205;0.06346
132;4225;3;1408;8.00;8.24;11264.00;11600.96;0.06017;0.06197
133;4096;3;1365;8.00;8.30;10920.00;11326.16;0.05833;0.06050
134;3969;3;1323;8.00;8.36;10584.00;11054.87;0.05654;0.05905
135;3844;3;1281;8.00;8.41;10248.00;10778.86;0.05474;0.05758
136;3721;3;1240;8.00;8.47;9920.00;10506.56;0.05299;0.05612
137;3721;3;1240;8.00;8.53;9920.00;10579.41;0.05299;0.05651
138;3600;3;1200;8.00;8.59;9600.00;10308.80;0.05128;0.05507
139;3481;3;1160;8.00;8.65;9280.00;10033.62;0.04957;0.05360
140;3364;3;1121;8.00;8.71;8968.00;9762.58;0.04791;0.05215
141;3249;3;1083;8.00;8.77;8664.00;9495.83;0.04628;0.05073
142;3136;3;1045;8.00;8.83;8360.00;9224.70;0.04466;0.04928
143;3025;3;1008;8.00;8.89;8064.00;8958.08;0.04308;0.04785
144;2916;3;972;8.00;8.95;7776.00;8696.12;0.04154;0.04645
145;2916;3;972;8.00;9.01;7776.00;8754.21;0.04154;0.04676
146;2809;3;936;8.00;9.07;7488.00;8486.04;0.04000;0.04533
147;2704;3;901;8.00;9.13;7208.00;8222.79;0.03850;0.04393
148;2601;3;867;8.00;9.19;6936.00;7964.63;0.03705;0.04255
149;2500;3;833;8.00;9.25;6664.00;7702.49;0.03560;0.04115
150;2401;3;800;8.00;9.31;6400.00;7445.65;0.03419;0.03977
151;2304;3;768;8.00;9.37;6144.00;7194.29;0.03282;0.03843
152;2209;3;736;8.00;9.43;5888.00;6939.14;0.03145;0.03707
153;2116;3;705;8.00;9.49;5640.00;6689.69;0.03013;0.03574
154;2025;3;675;8.00;9.55;5400.00;6446.10;0.02885;0.03443
155;1936;3;645;8.00;9.61;5160.00;6198.94;0.02756;0.03311
156;1936;3;645;8.00;9.67;5160.00;6238.34;0.02756;0.03332
