Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
10;18293;3,96;102,45;537,52;11818,09;9943,068;1875,027;11227330;6857127;4346310;169701,5;29072,8;198772,6;98;100,07;98,55
11;18058;3,96;112,7;547,76;11836,57;9985,391;1851,18;11426020;7029120;4375053;170403,3;28740,99;199140,9;98;100,16;98,53
12;17824;3,96;122,94;558;11864,59;10019,45;1845,146;11625760;7198574;4403700;171019,7;28628,63;199652,5;98;100,24;98,52
13;17592;3,96;133,18;568,24;11901,74;10049,2;1852,539;11826410;7374782;4432438;171571,5;28728,14;200301,6;98;100,31;98,51
14;17361;3,96;143,42;578,48;11947,48;10078,32;1869,165;12027640;7548351;4461518;172050,4;29029,53;201079,3;98;100,38;98,5
15;17132;3,96;153,66;588,73;12000,95;10102,46;1898,493;12229660;7719300;4491092;172445,3;29521,15;201974,6;98;100,45;98,49
16;16904;3,96;163,91;598,97;12248,89;10279,36;1969,536;12435550;7899246;4521517;175447,8;30431,58;205885,3;98;102,07;100
17;16678;3,75;184,34;619,4;12490,63;10467,47;2023,153;12644400;8076455;4552806;177843,5;31271,41;209107,5;98;101,97;98,48
0;16454;4,2;0;619,4;12354,09;10307,15;2046,933;21901770;13342250;8543601;176866,2;31745,42;208607,8;;;
1;16230;3,91;10,39;629,79;12229,87;10320,34;1909,53;22106090;13514050;8573258;175910,1;29665,55;205585,5;98;98,99;98,46
2;16008;3,92;20,72;640,12;12113,14;10322,97;1790,166;22308530;13683180;8601055;176073;27776,92;203842,1;98;99,05;98,44
3;15788;3,92;31,05;650,46;12005,59;10325,77;1679,824;22509360;13866300;8627189;176100,9;26089,17;202202;98;99,11;98,43
4;15569;3,93;41,39;660,8;11907,54;10326,62;1580,927;22709510;14046520;8651808;176108,9;24608,32;200696,8;98;99,18;98,42
5;15351;3,93;51,73;671,13;11819,22;10318,47;1500,751;22908770;14223870;8675120;176000,1;23337,62;199334;98;99,26;98,41
