Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (MJ);Sum Vert. force blocks (MJ);Sum Horiz. force blocks (MJ);Vert. force blocks row (MJ);Horiz. force blocks row (MJ);Total force blocks row (MJ);% Decrement blocks;% increase Distance;% increase Force
0;21193;4.00;417.31;832.95;11332.030;8896.465;2435.565;8428053.000;4910513.000;3528351.000;151929.200;37841.420;189794.800
1;20934;4.00;427.49;843.12;11378.410;8987.477;2390.937;8618692.000;5064837.000;3565507.000;153517.600;37146.630;190681.300;98;100.41;98.63
2;20677;4.00;437.67;853.30;11420.260;9074.699;2345.563;8810357.000;5217040.000;3601978.000;155040.800;36460.610;191489.700;98;100.37;98.62
3;20421;4.00;447.84;863.48;11457.720;9159.359;2298.359;9002864.000;5377857.000;3637769.000;156455.100;35783.160;192222.500;98;100.33;98.61
4;20167;4.00;458.02;873.66;11649.070;9365.671;2283.401;9198154.000;5538675.000;3673112.000;160005.300;35329.040;195324.100;98;101.67;100.00
5;19914;4.00;468.20;883.84;11679.410;9438.860;2240.550;9393704.000;5697251.000;3707778.000;161246.000;34666.090;195936.300;98;100.26;98.61
6;19664;4.00;478.38;894.01;11705.650;9511.337;2194.317;9589759.000;5864025.000;3741785.000;162505.400;34011.240;196474.300;98;100.22;98.60
7;19414;4.00;488.56;904.19;11727.630;9575.947;2151.688;9786716.000;6028441.000;3775145.000;163579.800;33364.710;196939.900;98;100.19;98.59
8;19167;4.00;498.74;914.37;11745.450;9634.861;2110.587;9984317.000;6190518.000;3807858.000;164608.600;32726.680;197333.000;98;100.15;98.58
9;18921;4.00;508.91;924.55;11759.180;9692.979;2066.203;10182270.000;6360255.000;3839935.000;165559.100;32097.030;197653.800;98;100.12;98.56
10;18676;4.00;519.09;934.73;11768.860;9741.521;2027.342;10380360.000;6527541.000;3871393.000;166393.900;31475.440;197905.400;98;100.08;98.55
11;18433;4.00;529.27;944.91;11774.650;9790.351;1984.301;10578320.000;6692394.000;3902243.000;167252.000;30861.760;198087.300;98;100.05;98.54
12;18192;4.00;539.45;955.08;11776.450;9830.934;1945.519;10776150.000;6864387.000;3932489.000;167932.600;30256.530;198200.600;98;100.02;98.53
13;17952;4.00;549.63;965.26;11774.330;9869.599;1904.736;10974150.000;7033841.000;3962139.000;168573.300;29659.030;198245.400;98;99.98;98.52
14;17714;4.00;559.80;975.44;11942.370;10053.600;1888.771;11175200.000;7203295.000;3991389.000;171713.300;29260.200;200968.800;98;101.43;100.00
15;17477;4.00;569.98;985.62;11934.020;10082.710;1851.308;11376340.000;7379503.000;4020058.000;172238.200;28676.250;200907.700;98;99.93;98.51
16;17242;4.00;580.16;995.80;11921.860;10107.360;1814.500;11577370.000;7553072.000;4048155.000;172705.300;28100.380;200780.600;98;99.90;98.50
0;17009;4.00;590.34;1181.91;11986.830;10130.680;1856.155;20017020.000;12487070.000;7567463.000;173086.500;28782.200;201840.100
1;16774;4.00;600.52;1192.09;11966.430;10149.940;1816.490;20219180.000;12664280.000;7595696.000;173339.700;28205.580;201569.500;98;99.83;98.48
2;16540;4.00;610.70;1202.27;11942.550;10162.400;1780.156;20421660.000;12838770.000;7623360.000;173594.200;27636.700;201236.900;98;99.80;98.47
3;16308;4.00;620.87;1212.44;11915.090;10173.200;1741.892;20623930.000;13010570.000;7650466.000;173762.700;27075.540;200843.800;98;99.77;98.45
4;16077;4.00;631.05;1222.62;11884.250;10177.500;1706.747;20825520.000;13179700.000;7677025.000;173879.900;26522.270;200389.500;98;99.74;98.44
5;15849;4.00;641.23;1232.80;11849.980;10178.130;1671.845;21025770.000;13346170.000;7703051.000;173914.000;25976.600;199876.400;98;99.71;98.43
6;15621;4.00;651.41;1242.98;11812.400;10177.990;1634.415;21224530.000;13526390.000;7728532.000;173844.500;25438.660;199306.200;98;99.68;98.42
7;15396;4.00;661.59;1253.16;11959.290;10337.730;1621.564;21425510.000;13706620.000;7753665.000;176616.300;25087.070;201671.500;98;101.24;100.00
8;15172;4.00;671.77;1263.34;11916.010;10331.120;1584.896;21625580.000;13883970.000;7778281.000;176436.500;24561.860;201005.900;98;99.64;98.41
9;14950;4.00;681.94;1273.51;11869.690;10317.880;1551.808;21824810.000;14058470.000;7802372.000;176238.200;24043.930;200284.400;98;99.61;98.39
10;14729;4.00;692.12;1283.69;11820.200;10300.110;1520.089;22023210.000;14230150.000;7825946.000;175977.200;23533.620;199508.000;98;99.58;98.38
11;14510;4.00;702.30;1293.87;11767.570;10282.550;1485.023;22220950.000;14399020.000;7849002.000;175614.000;23030.550;198677.800;98;99.55;98.37
12;14293;4.00;712.48;1304.05;11711.930;10258.670;1453.259;22418190.000;14580220.000;7871546.000;175278.000;22534.850;197794.100;98;99.53;98.35
13;14077;4.00;722.66;1314.23;11653.340;10233.750;1419.587;22615440.000;14758400.000;7893587.000;174796.500;22046.470;196859.100;98;99.50;98.34
14;13863;4.00;732.84;1324.40;11591.840;10205.150;1386.692;22812820.000;14933610.000;7915122.000;174296.200;21565.190;195872.700;98;99.47;98.33
0;13651;4.00;743.01;1492.18;11601.740;10170.930;1430.804;42816240.000;27412980.000;15475350.000;173746.700;22245.250;195991.200
1;13449;4.00;753.19;1502.36;11533.930;10133.670;1400.257;43005720.000;27582290.000;15496460.000;173130.300;21774.070;194901.600;98;99.42;98.30
2;13248;4.00;763.37;1512.54;11661.270;10271.390;1389.876;43199980.000;27751610.000;15517320.000;175483.600;21478.130;196946.300;98;101.10;100.00
3;13049;4.00;773.55;1522.72;11588.430;10230.810;1357.620;43396610.000;27918020.000;15537770.000;174774.500;21018.370;195773.400;98;99.38;98.28
4;12851;4.00;783.73;1532.90;11513.010;10184.830;1328.181;43596980.000;28081550.000;15557830.000;173976.700;20565.130;194554.300;98;99.35;98.27
5;12655;4.00;793.90;1543.07;11434.910;10138.280;1296.635;43800760.000;28242220.000;15577490.000;173161.300;20118.730;193288.000;98;99.32;98.25
6;12460;4.00;804.08;1553.25;11354.300;10085.640;1268.665;44006950.000;28426360.000;15596760.000;172292.800;19678.810;191978.300;98;99.30;98.24
7;12266;4.00;814.26;1563.43;11271.200;10033.160;1238.035;44213510.000;28607240.000;15615620.000;171384.300;19245.470;190624.100;98;99.27;98.22
8;12075;4.00;824.44;1573.61;11185.630;9975.408;1210.218;44416520.000;28784870.000;15634080.000;170415.800;18818.600;189226.600;98;99.24;98.21
9;11884;4.00;834.62;1583.79;11300.330;10098.790;1201.548;44619430.000;28962500.000;15652320.000;172492.900;18552.300;191064.600;98;101.03;100.00
10;11696;4.00;844.80;1593.97;11210.290;10038.270;1172.022;44818760.000;29136910.000;15670170.000;171475.600;18136.250;189591.800;98;99.20;98.19
11;11509;4.00;854.97;1604.14;11117.980;9972.701;1145.281;45014440.000;29308140.000;15687650.000;170345.900;17726.520;188078.200;98;99.18;98.17
12;11323;4.00;865.15;1614.32;11023.440;9904.313;1119.126;45206530.000;29476210.000;15704780.000;169197.800;17323.040;186525.400;98;99.15;98.16
13;11139;4.00;875.33;1624.50;10926.690;9835.332;1091.359;45395040.000;29641150.000;15721540.000;168013.600;16925.780;184933.700;98;99.12;98.14
0;10956;4.00;885.51;1775.90;10894.920;9763.417;1131.508;88208440.000;57066850.000;31196870.000;166780.600;17575.630;184345.300
1;10767;4.00;895.69;1786.07;10792.860;9687.550;1105.307;88389900.000;57248320.000;31218010.000;165499.700;17168.310;182657.800;98;99.06;98.10
2;10579;4.00;905.87;1796.25;10688.750;9610.882;1077.871;88567890.000;57426300.000;31238750.000;164156.500;16767.400;180934.100;98;99.04;98.09
3;10393;4.00;916.04;1806.43;10582.720;9530.122;1052.598;88742440.000;57600860.000;31259090.000;162792.100;16372.810;179176.300;98;99.01;98.07
4;10208;4.00;926.22;1816.61;10681.700;9635.219;1046.476;88916990.000;57775400.000;31279080.000;164609.100;16131.670;180743.700;98;100.94;100.00
5;10026;4.00;936.40;1826.79;10571.860;9552.351;1019.506;89088140.000;57946550.000;31298680.000;163175.900;15747.600;178921.400;98;98.97;98.05
6;9845;4.00;946.58;1836.97;10460.210;9465.790;994.418;89255900.000;58114320.000;31317900.000;161706.700;15369.690;177067.100;98;98.94;98.03
7;9665;4.00;956.76;1847.14;10346.760;9378.462;968.302;89420340.000;58278760.000;31336740.000;160190.300;14997.880;175181.600;98;98.92;98.01
8;9488;4.00;966.94;1857.32;10231.630;9286.864;944.761;89581460.000;58439880.000;31355200.000;158623.800;14632.150;173265.800;98;98.89;97.99
9;9312;4.00;977.11;1867.50;10114.850;9192.858;921.991;89739320.000;58597740.000;31373290.000;157069.200;14272.500;171321.800;98;98.86;97.97
10;9137;4.00;987.29;1877.68;9996.495;9099.431;897.064;89893940.000;58752360.000;31391030.000;155428.000;13918.810;169348.500;98;98.83;97.95
11;8964;4.00;997.47;1887.86;9876.591;9002.113;874.478;90045360.000;58903770.000;31408390.000;153780.000;13571.050;167348.800;98;98.80;97.93
0;8793;4.00;1007.65;2024.52;9807.607;8903.321;904.286;178217100.000;115933900.000;62586770.000;152090.700;14042.230;166136.200
1;8627;4.00;1017.83;2034.70;9684.006;8803.849;880.157;178362200.000;116079000.000;62589440.000;150364.600;13696.840;164075.400;98;98.74;97.88
