Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;1;32902;5.00;2.33;164510.00;76771.33;0.87879;0.41010
1;32400;1;32400;5.00;2.34;162000.00;75935.04;0.86538;0.40564
2;32041;1;32041;5.00;2.36;160205.00;75578.15;0.85580;0.40373
3;31684;1;31684;5.00;2.38;158420.00;75295.95;0.84626;0.40222
4;31329;1;31329;5.00;2.40;156645.00;75065.13;0.83678;0.40099
5;30976;1;30976;5.00;2.42;154880.00;74872.90;0.82735;0.39996
6;30976;1;30976;5.00;2.44;154880.00;75567.13;0.82735;0.40367
7;30625;1;30625;5.00;2.46;153125.00;75432.53;0.81798;0.40295
8;30276;1;30276;5.00;2.49;151380.00;75317.71;0.80865;0.40234
9;29929;1;29929;5.00;2.51;149645.00;75218.94;0.79939;0.40181
10;29584;1;29584;5.00;2.54;147920.00;75133.17;0.79017;0.40135
11;29241;1;29241;5.00;2.57;146205.00;75057.88;0.78101;0.40095
12;28900;1;28900;5.00;2.59;144500.00;74990.87;0.77190;0.40059
13;28561;1;28561;5.00;2.62;142805.00;74930.27;0.76285;0.40027
14;28224;1;28224;5.00;2.65;141120.00;74874.44;0.75385;0.39997
15;28224;1;28224;5.00;2.68;141120.00;75720.70;0.75385;0.40449
16;27889;1;27889;5.00;2.71;139445.00;75675.05;0.74490;0.40425
17;27556;1;27556;5.00;2.74;137780.00;75630.37;0.73600;0.40401
18;27225;1;27225;5.00;2.78;136125.00;75585.59;0.72716;0.40377
19;26896;1;26896;5.00;2.81;134480.00;75539.77;0.71838;0.40352
20;26569;1;26569;5.00;2.84;132845.00;75492.05;0.70964;0.40327
21;26244;1;26244;5.00;2.87;131220.00;75441.66;0.70096;0.40300
22;25921;1;25921;5.00;2.91;129605.00;75387.88;0.69233;0.40271
23;25600;1;25600;5.00;2.94;128000.00;75330.03;0.68376;0.40240
24;25600;1;25600;5.00;2.98;128000.00;76217.27;0.68376;0.40714
25;25281;1;25281;5.00;3.01;126405.00;76154.75;0.67524;0.40681
26;24964;1;24964;5.00;3.05;124820.00;76086.50;0.66677;0.40645
27;24649;1;24649;5.00;3.08;123245.00;76012.07;0.65836;0.40605
28;24336;1;24336;5.00;3.12;121680.00;75931.02;0.65000;0.40561
29;24025;1;24025;5.00;3.16;120125.00;75842.93;0.64169;0.40514
30;23716;1;23716;5.00;3.19;118580.00;75747.45;0.63344;0.40463
31;23409;1;23409;5.00;3.23;117045.00;75644.23;0.62524;0.40408
32;23409;1;23409;5.00;3.27;117045.00;76530.09;0.62524;0.40881
33;23104;1;23104;5.00;3.31;115520.00;76415.51;0.61709;0.40820
34;22801;1;22801;5.00;3.35;114005.00;76292.27;0.60900;0.40754
35;22500;1;22500;5.00;3.38;112500.00;76160.15;0.60096;0.40684
36;22201;1;22201;5.00;3.42;111005.00;76018.88;0.59298;0.40608
37;21904;1;21904;5.00;3.46;109520.00;75868.27;0.58504;0.40528
38;21609;1;21609;5.00;3.50;108045.00;75708.14;0.57716;0.40442
39;21316;1;21316;5.00;3.54;106580.00;75538.30;0.56934;0.40352
40;21025;1;21025;5.00;3.58;105125.00;75358.62;0.56157;0.40256
41;21025;1;21025;5.00;3.63;105125.00;76216.56;0.56157;0.40714
42;20736;1;20736;5.00;3.67;103680.00;76021.29;0.55385;0.40610
43;20449;1;20449;5.00;3.71;102245.00;75815.70;0.54618;0.40500
44;20164;1;20164;5.00;3.75;100820.00;75599.70;0.53857;0.40384
45;19881;1;19881;5.00;3.79;99405.00;75373.17;0.53101;0.40263
46;19600;1;19600;5.00;3.83;98000.00;75136.06;0.52350;0.40137
47;19321;1;19321;5.00;3.88;96605.00;74888.30;0.51605;0.40004
48;19044;1;19044;5.00;3.92;95220.00;74629.83;0.50865;0.39866
49;19044;1;19044;5.00;3.96;95220.00;75450.12;0.50865;0.40305
50;18769;1;18769;5.00;4.01;93845.00;75174.02;0.50131;0.40157
51;18496;1;18496;5.00;4.05;92480.00;74886.99;0.49402;0.40004
