phase_id,phase_label,ramp_configuration,median_total_capacity_bph,p10_total_capacity_bph,p90_total_capacity_bph,median_utilization,median_service_time_min
1,Phase 1,16 straight edge-ramps,184.6764640054074,118.76072474710104,245.00597417990278,0.8920102781861641,3.486657313032167
2,Phase 2,8 straight edge-ramps,85.92531863403993,57.42006303234183,118.76547111562566,0.9178143145517752,3.6013059236687948
3a,Phase 3a,4 helical edge-ramps,18.899297379265178,14.942672545906074,23.48202303294588,0.995,6.762156151239161
3b,Phase 3b,2 helical edge-ramps,12.378936688221348,9.803300546171835,15.37741851799893,0.995,6.88265900550512
3c,Phase 3c,1 helical edge-ramp,4.330606510469422,3.2208904969308967,5.616405972413643,0.995,9.836959324381631
