scenario,duration_years
baseline,12.130441811416274
baseline,11.364816898004229
baseline,12.39539856824686
baseline,12.51017078132661
baseline,10.873834161535076
baseline,11.221272862160498
baseline,12.02688682645681
baseline,11.77070012126376
baseline,11.942864427005494
baseline,11.468287317797339
baseline,12.473128063560877
baseline,12.41183884931728
baseline,11.990909490732173
baseline,12.62390793104209
baseline,12.226543278037312
baseline,11.464813530373064
baseline,12.1681519716639
baseline,11.40959036816894
baseline,12.472555018857404
baseline,11.923695424294355
baseline,11.845928011525853
baseline,11.564389167739208
baseline,12.682372176312638
baseline,11.863365095745213
baseline,11.706900291131193
baseline,11.75023273621002
baseline,12.265009429280175
baseline,12.166201723543965
baseline,12.194121644170746
baseline,12.204818353821386
baseline,13.260385537486199
baseline,11.719345837412535
baseline,11.659362938435738
baseline,11.490143844603852
baseline,12.314857428154372
baseline,12.624967488316583
baseline,11.886734341788797
baseline,11.475455262056025
baseline,11.48417984721583
baseline,12.335538476732673
baseline,12.391074562218844
baseline,12.271459111464626
baseline,11.573038418743826
baseline,12.087854950810874
baseline,12.020386095219376
baseline,12.079963656334705
baseline,12.468310028390816
baseline,12.082837174085004
baseline,12.35248576137738
baseline,11.991809422268517
baseline,12.121273980889494
baseline,12.323999940502905
baseline,11.137286851557091
baseline,11.768743346724175
baseline,11.683057804738056
baseline,11.58799200682198
baseline,11.794182270623015
baseline,12.850988451252501
baseline,11.46117958903529
baseline,12.526990621899955
baseline,11.016095708289404
baseline,11.760064507101989
baseline,12.047256269742899
baseline,12.29710581960643
baseline,12.371850624099967
baseline,12.421202204029264
baseline,11.752174935949554
baseline,11.687602446605478
baseline,12.460180891675284
baseline,11.842228120407839
baseline,11.235693881596758
baseline,11.313525841275297
baseline,11.431422589228896
baseline,12.24412971077171
baseline,12.03539227647885
baseline,12.359417112109215
baseline,11.707510635357863
baseline,12.04479617877119
baseline,12.32059636268132
baseline,11.774636807488598
baseline,12.220183078157296
baseline,11.575049546059931
baseline,11.74401236808449
baseline,11.733377325617317
baseline,11.27926961572611
baseline,12.238084120589319
baseline,11.683607492835318
baseline,11.95983516280555
baseline,12.234391272349033
baseline,12.214116343189653
baseline,12.344387351822741
baseline,11.895650323652454
baseline,11.709755664473304
baseline,11.90648130559536
baseline,11.013711950957427
baseline,11.142710414731873
baseline,11.210115958860674
baseline,11.388388676094426
baseline,12.186464400969472
baseline,11.439169522577172
baseline,11.735411675470914
baseline,12.729615345821708
baseline,11.747879595875018
baseline,12.387627869900795
baseline,11.423574503258502
baseline,11.834114876571185
baseline,11.414492719760178
baseline,11.757699338331214
baseline,12.449512959406858
baseline,10.992385885239239
baseline,12.206949929803212
baseline,12.091121454293402
baseline,11.61315011009224
baseline,11.143280078893891
baseline,11.994454582429228
baseline,11.649614991321377
baseline,12.088156635904314
baseline,11.965261010304586
baseline,12.91773498262796
baseline,11.81466685325364
baseline,11.37390428369389
baseline,12.056908291429686
baseline,12.08072960679069
baseline,12.766676629195175
baseline,12.446376781193436
baseline,12.16114697210515
baseline,12.83128905234346
baseline,11.283139802681312
baseline,11.587501131464004
baseline,11.427475176481693
baseline,11.728785755089607
baseline,11.180816415438647
