trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
9794,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9571999074420592,4.421575632206145,4.582079595096477,8.656463607963794,0.22616372152861944,0.11552061503268121,0.995,4.9211782003922195,9.842356400784439,194.79891347298792,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9795,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.8299821782327955,4.298853504136526,4.388828933883897,9.087725009344108,0.23262016233811195,0.11003854088584195,0.995,4.687641841736866,9.375283683473732,210.34181266229558,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9796,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.7884727999505962,3.3213517616422252,4.022972369617453,8.969243186117865,0.3010822315024998,0.1114921269553432,0.995,4.74956460829762,9.49912921659524,268.6977354598131,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9797,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.964440544706463,4.656450465351064,2.637222213443235,6.68101736640106,0.21475585479563497,0.14967780281922563,0.995,6.376274400099011,12.752548800198023,142.76136574488106,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9798,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.916061556809559,4.793035427187952,2.312166869900882,6.569522689506327,0.20863605437331276,0.15221806016399433,0.995,6.484489362986158,12.968978725972317,136.378609658928,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9799,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1993576207587682,3.192174767876205,3.080858558681559,6.332599267622635,0.3132660561267806,0.15791303977070018,0.995,6.727095494231827,13.454190988463655,197.3869455611483,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9800,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.0164162923864066,4.744789638714437,3.7178597593983267,7.554870272918661,0.2107574995191867,0.13236494656759626,0.995,5.6387467237796,11.2774934475592,158.42843400726105,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9801,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.7692593498358049,3.849581632618955,1.817846259703474,6.887657891934448,0.2597684879641526,0.14518723428046784,0.995,6.184976180347929,12.369952360695859,178.02504938211618,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9802,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.965865001606357,4.307453788675518,2.603397890702739,6.641229257937084,0.23215571171745197,0.1505745338944409,0.995,6.414475143903182,12.828950287806364,153.4090308529872,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9803,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9862744065601273,4.563925558541234,4.569064034314725,8.523338802127267,0.21910962113054921,0.11732491494417875,0.995,4.998041376622014,9.996082753244028,185.82078080229059,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9804,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.0430022603104976,4.711755045766256,3.59918766108333,7.338393364088217,0.2122351417437435,0.13626960976140698,0.995,5.805085375835937,11.610170751671873,154.96776310196154,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9805,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.7570169291840487,4.631330843019591,4.490499080900012,9.642299324262623,0.21592065734349652,0.10370970308749185,0.995,4.418033351527153,8.836066703054305,207.15617503555484,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9806,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9399605681584153,3.7044386137410426,1.172638453423289,5.321748673696612,0.26994643568681487,0.18790815976384254,0.995,8.004887605939691,16.009775211879383,142.94041506550064,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9807,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9312654906915587,3.5367334801562036,3.076006227836194,7.263856028974917,0.2827467790860605,0.1376679267886207,0.995,5.864653681195242,11.729307362390484,204.35627364578303,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9808,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.8702253599665098,3.8885476119214264,2.9131257399457864,7.394723472457384,0.2571654251922289,0.13523156122397692,0.995,5.760864508141417,11.521729016282833,189.21588699435895,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9809,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9497124558980055,4.693041600180517,1.8408165575950337,5.947322664553834,0.21308142675776306,0.1681428865395215,0.995,7.162886966583616,14.325773933167232,126.09276787581514,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9810,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1658027602736607,3.8960981800863532,3.2236584089087206,6.568992742380802,0.25666704322575257,0.15223034020853093,0.995,6.485012492883417,12.970024985766834,167.76137244375153,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9811,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9653689118415479,4.584052719215075,4.314090491667332,8.353996844732212,0.21814757840988128,0.11970318143351598,0.995,5.099355529067781,10.198711058135562,181.32921608135086,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
