scenario,n,median_years,ci2.5_years,ci97.5_years,mean_years,std_years
baseline,10000.0,11.944969075450066,10.862406890080905,13.1499891190874,11.960883702160297,0.5838753454787998
conservative,10000.0,17.82831941908436,16.044473130665693,19.827771715241173,17.857812918354142,0.9661751713385305
